"ptrOffset"	"ptrBytes"	"strOffset"	"strBytes"	"strText"	"translation"
"0001A032"	"0C9D"	"0001ACAD"	"26 58 37 55 4 253 6 127 38 37 56 47 29 192 4 254 18 18 205 29 22 143"	"これなら、[FD 06]円になりますが、
いいですか？"	""
"0001A034"	"0CB4"	"0001ACC4"	"31 58 42 4 19 33 205 42 17 34 22 15 35 21 56 47 30 61 192 254 185 185 185 1"	"それは、うちではあつかっておりませんが
・・・。"	""
"0001A036"	"0CCD"	"0001ACDD"	"17 56 192 36 19 196 197 18 47 29 1"	"ありがとうございます。"	""
"0001A038"	"0CD9"	"0001ACE9"	"51 19 0 51 35 47 30 61 1"	"もう　もてません。"	""
"0001A03A"	"0CE3"	"0001ACF3"	"37 38 51 51 15 35 37 18 1"	"なにももってない。"	""
"0001A03C"	"0CED"	"0001ACFD"	"26 26 42 4 20 23 205 29 1 254 18 206 19 38 42 4 130 128 128 128 127 22 22 56 47 29 192 254 54 59 28 18 205 29 22 143"	"ここは、えきです。
いどうには、２０００円かかりますが
よろしいですか？"	""
"0001A03E"	"0D12"	"0001AD22"	"26 26 42 4 20 23 205 29 1 254 198 14 19 28 12 25 61 192 37 18 36 4 18 206 19 42 205 23 254 47 30 61 1"	"ここは、えきです。
じょうしゃけんがないと、いどうはでき
ません。"	""
"0001A040"	"0D34"	"0001AD44"	"205 42 1 27 54 19 37 55 185 185 185 1"	"では。さようなら・・・。"	""
"0001A042"	"0D41"	"0001AD51"	"18 23 27 23 42 0 206 26 205 29 22 143"	"いきさきは　どこですか？"	""
"0001A044"	"0D41"	"0001AD51"	"18 23 27 23 42 0 206 26 205 29 22 143"	"いきさきは　どこですか？"	""
"0001A046"	"0D4E"	"0001AD5E"	"31 41 198 14 19 28 12 25 61 205 42 4 31 26 38 42 254 18 25 47 30 61 1"	"そのじょうしゃけんでは、そこには
いけません。"	""
"0001A048"	"0D66"	"0001AD76"	"51 19 29 194 42 15 28 12 28 47 29 1 254 21 42 52 50 38 4 196 198 14 19 28 12 24 202 27 18 1"	"もうすぐはっしゃします。
おはやめに、ごじょうしゃください。"	""
"0001A04A"	"0D85"	"0001AD95"	"36 19 33 12 24 18 32 28 47 28 32 1"	"とうちゃくいたしました。"	""
"0001A04C"	"0D85"	"0001AD95"	"36 19 33 12 24 18 32 28 47 28 32 1"	"とうちゃくいたしました。"	""
"0001A04E"	"0D92"	"0001ADA2"	"208 96 125 65 212 100 125 65 185 185 185 65 65"	"ガタン！ゴトン！・・・！！"	""
"0001A050"	"0DA0"	"0001ADB0"	"26 26 42 4 24 19 26 19 205 196 197 18 47 29 1 254 28 54 19 56 14 19 42 0 130 128 128 128 127 18 32 202 23 47 29 1 254 54 59 28 18 205 29 22 143"	"ここは、くうこうでございます。
しようりょうは　２０００円いただきます。
よろしいですか？"	""
"0001A052"	"0DCE"	"0001ADDE"	"26 26 42 4 24 19 26 19 205 29 1 254 88 80 249 125 25 61 192 37 18 36 4 43 26 19 23 38 42 4 254 41 58 47 30 61 1"	"ここは、くうこうです。
クーポンけんがないと、ひこうきには、
のれません。"	""
"0001A054"	"0DF4"	"0001AE04"	"31 41 88 80 249 125 25 61 205 42 4 31 26 42 254 18 25 47 30 61 192 185 185 185 1"	"そのクーポンけんでは、そこは
いけませんが・・・。"	""
"0001A056"	"0E0E"	"0001AE1E"	"51 19 29 194 4 56 56 24 205 196 197 18 47 29 1 254 21 42 52 50 38 4 196 36 19 198 14 19 24 202 27 18 1"	"もうすぐ、りりくでございます。
おはやめに、ごとうじょうください。"	""
"0001A058"	"0E30"	"0001AE40"	"87 72 72 72 72 72 72 72 80 125 65 65"	"キィィィィィィィーン！！"	""
"0001A05A"	"0E3D"	"0001AE4D"	"18 55 15 28 12 18 4 211 80 113 94 125 96 80 205 17 31 61 205 254 18 23 47 29 22 143"	"いらっしゃい、ゲームセンターであそんで
いきますか？"	""
"0001A05C"	"0E58"	"0001AE68"	"206 41 211 80 113 6 29 57 41 143"	"どのゲームをするの？"	""
"0001A05E"	"0E63"	"0001AE73"	"26 41 211 80 113 6 29 57 41 40 143"	"このゲームをするのね？"	""
"0001A060"	"0E6F"	"0001AE7F"	"205 42 0 196 53 15 24 56 206 19 201 1"	"では　ごゆっくりどうぞ。"	""
"0001A062"	"0E6F"	"0001AE7F"	"205 42 0 196 53 15 24 56 206 19 201 1"	"では　ごゆっくりどうぞ。"	""
"0001A064"	"0E7C"	"0001AE8C"	"253 0 42 4 19 61 192 253 3 249 82 125 100 17 192 15 32 1"	"[FD 00]は、うんが[FD 03]ポイントあがった。"	""
"0001A066"	"0E8F"	"0001AE9F"	"47 32 23 35 40 1"	"またきてね。"	""
"0001A068"	"0E96"	"0001AEA6"	"18 55 15 28 12 18 47 30 4 23 59 24 28 47 29 22 143 254 21 36 47 56 38 37 56 47 29 22 143"	"いらっしゃいませ、きろくしますか？
おとまりになりますか？"	""
"0001A06A"	"0EB4"	"0001AEC4"	"21 36 47 56 42 4 129 128 128 128 128 127 36 37 56 47 29 192 4 254 54 59 28 18 205 29 22 1"	"おとまりは、１００００円となりますが、
よろしいですか。"	""
"0001A06C"	"0ED1"	"0001AEE1"	"32 28 22 38 4 23 59 24 18 32 28 47 28 32 1"	"たしかに、きろくいたしました。"	""
"0001A06E"	"0EE1"	"0001AEF1"	"21 42 54 19 196 197 18 47 29 1 254 46 22 38 54 19 42 17 56 47 29 22 143"	"おはようございます。
ほかにようはありますか？"	""
"0001A070"	"0EF9"	"0001AF09"	"211 80 113 6 0 47 202 34 204 25 47 29 22 143"	"ゲームを　まだつづけますか？"	""
"0001A072"	"0EF9"	"0001AF09"	"211 80 113 6 0 47 202 34 204 25 47 29 22 143"	"ゲームを　まだつづけますか？"	""
"0001A074"	"0F08"	"0001AF18"	"120 94 79 100 233 96 125 6 21 28 37 192 55 4 93 82 79 97 6 4 254 21 23 56 24 202 27 18 1"	"リセットボタンをおしながら、スイッチを、
おきりください。"	""
"0001A076"	"0F26"	"0001AF36"	"17 56 192 36 19 196 197 18 47 28 32 1"	"ありがとうございました。"	""
"0001A078"	"0F33"	"0001AF43"	"54 24 23 32 37 1 254 26 26 42 93 249 80 98 214 113 202 25 206 0 22 55 202 6 23 32 20 254 38 23 32 41 22 143"	"よくきたな。
ここはスポーツジムだけど　からだをきたえ
にきたのか？"	""
"0001A07A"	"0F56"	"0001AF66"	"22 55 202 42 4 23 32 20 32 46 19 192 18 18 61 202 201 65 254 23 192 22 60 15 32 55 47 32 23 37 54 1"	"からだは、きたえたほうがいいんだぞ！
きがかわったらまたきなよ。"	""
"0001A07C"	"0F77"	"0001AF87"	"206 41 90 80 93 205 4 58 61 28 13 19 29 57 61 202 18 143"	"どのコースで、れんしゅうするんだい？"	""
"0001A07E"	"0F8A"	"0001AF9A"	"46 61 36 19 38 4 26 41 90 80 93 205 18 18 61 202 37 143"	"ほんとうに、このコースでいいんだな？"	""
"0001A080"	"0F9D"	"0001AFAD"	"54 28 65 192 61 224 61 37 65 65"	"よし！がんばんな！！"	""
"0001A082"	"0FA8"	"0001AFB8"	"253 0 42 4 172 175 192 253 3 249 82 125 100 17 192 15 32 1"	"[FD 00]は、体力が[FD 03]ポイントあがった。"	""
"0001A084"	"0FBB"	"0001AFCB"	"54 24 192 61 224 15 32 65 47 32 26 18 54 65 65"	"よくがんばった！またこいよ！！"	""
"0001A086"	"0FCB"	"0001AFDB"	"86 214 105 45 54 19 26 31 65 65 254 129 128 128 128 127 18 198 14 19 21 22 40 192 37 18 36 0 27 61 22 254 205 23 37 18 25 206 0 52 15 35 48 47 29 22 143"	"カジノへようこそ！！
１０００円いじょうおかねがないと　さんか
できないけど　やってみますか？"	""
"0001A088"	"0FFB"	"0001B00B"	"129 36 133 192 205 32 224 17 18 42 4 86 89 23 61 6 21 22 20 28 254 28 47 29 1"	"１と５がでたばあいは、カケきんをおかえし
します。"	""
"0001A08A"	"1015"	"0001B025"	"130 36 134 192 205 32 55 4 86 89 56 34 192 130 224 18 38 254 37 56 47 29 1"	"２と６がでたら、カケりつが２ばいに
なります。"	""
"0001A08C"	"102D"	"0001B03D"	"131 36 135 192 205 32 55 4 86 89 56 34 192 131 224 18 38 254 37 56 47 29 1"	"３と７がでたら、カケりつが３ばいに
なります。"	""
"0001A08E"	"1045"	"0001B055"	"132 36 136 192 205 32 55 4 21 21 17 32 56 4 86 89 56 34 254 132 224 18 38 37 56 47 29 1"	"４と８がでたら、おおあたり、カケりつ
４ばいになります。"	""
"0001A090"	"1062"	"0001B072"	"137 36 129 128 192 205 57 36 4 42 199 58 205 29 41 205 21 22 40 42 4 254 21 22 20 28 205 23 47 30 61 1"	"９と１０がでると、はずれですのでおかねは、
おかえしできません。"	""
"0001A092"	"1083"	"0001B093"	"22 25 23 61 6 4 21 202 28 24 202 27 18 1"	"かけきんを、おだしください。"	""
"0001A094"	"1092"	"0001B0A2"	"121 80 122 79 100 6 47 60 28 35 24 202 27 18 1"	"ルーレットをまわしてください。"	""
"0001A096"	"10A2"	"0001B0B2"	"253 0 42 4 253 8 6 34 22 15 32 1"	"[FD 00]は、[FD 08]をつかった。"	""
"0001A098"	"10AF"	"0001B0BF"	"28 22 28 4 26 19 22 42 37 22 15 32 1"	"しかし、こうかはなかった。"	""
"0001A09A"	"10BD"	"0001B0CD"	"36 47 56 47 28 32 1"	"とまりました。"	""
"0001A09C"	"10C5"	"0001B0D5"	"253 9 192 205 47 28 32 1 26 41 224 17 18 4 86 89 56 34 42 254 17 56 47 30 61 41 205 4 253 6 127 36 37 56 47 29 1"	"[FD 09]がでました。このばあい、カケりつは
ありませんので、[FD 06]円となります。"	""
"0001A09E"	"10EB"	"0001B0FB"	"21 50 205 36 19 196 197 18 47 29 1 253 9 192 205 32 41 205 4 254 253 6 127 36 37 56 47 29 1"	"おめでとうございます。[FD 09]がでたので、
[FD 06]円となります。"	""
"0001A0A0"	"1109"	"0001B119"	"21 21 17 32 56 205 29 1 253 6 127 36 37 56 47 29 1"	"おおあたりです。[FD 06]円となります。"	""
"0001A0A2"	"111B"	"0001B12B"	"197 61 40 61 205 28 32 1 42 199 58 205 196 197 18 47 29 1"	"ざんねんでした。はずれでございます。"	""
"0001A0A4"	"112E"	"0001B13E"	"253 11 90 111 19 196 22 30 47 29 1"	"[FD 0B]コマうごかせます。"	""
"0001A0A6"	"113A"	"0001B14A"	"18 55 15 28 12 18 47 30 1 254 26 26 42 0 42 37 28 22 32 23 14 19 28 34 205 29 1 254 38 13 19 192 24 28 47 29 22 143"	"いらっしゃいませ。
ここは　はなしかたきょうしつです。
にゅうがくしますか？"	""
"0001A0A8"	"1161"	"0001B171"	"31 58 42 197 61 40 61 205 29 1 23 192 22 60 15 32 55 4 47 32 254 23 35 23 202 27 18 1"	"それはざんねんです。きがかわったら、また
きてきださい。"	""
"0001A0AA"	"117E"	"0001B18E"	"206 41 90 80 93 38 37 27 18 47 29 22 143"	"どのコースになさいますか？"	""
"0001A0AC"	"118C"	"0001B19C"	"26 41 90 80 93 205 54 59 28 18 205 29 22 143"	"このコースでよろしいですか？"	""
"0001A0AE"	"119B"	"0001B1AB"	"31 58 205 42 27 15 31 24 4 48 37 27 61 38 196 28 14 19 22 18 254 28 47 28 14 19 1"	"それではさっそく、みなさんにごしょうかい
しましょう。"	""
"0001A0B0"	"11B7"	"0001B1C7"	"253 0 42 4 173 174 192 253 3 249 82 125 100 17 192 15 32 1"	"[FD 00]は、信用が[FD 03]ポイントあがった。"	""
"0001A0B2"	"11CA"	"0001B1DA"	"47 32 18 55 15 28 12 18 185 185 185 1"	"またいらっしゃい・・・。"	""
"0001A0B4"	"11D7"	"0001B1E7"	"26 26 42 36 28 14 22 61 205 29 1 254 46 61 6 22 56 47 29 22 143"	"ここはとしょかんです。
ほんをかりますか？"	""
"0001A0B6"	"11ED"	"0001B1FD"	"206 41 90 80 93 41 46 61 6 4 54 48 47 29 22 143"	"どのコースのほんを、よみますか？"	""
"0001A0B8"	"11FE"	"0001B20E"	"26 41 90 80 93 41 46 61 6 54 49 61 205 29 40 143"	"このコースのほんをよむんですね？"	""
"0001A0BA"	"120F"	"0001B21F"	"205 42 4 46 22 41 43 36 41 50 18 60 24 38 37 57 41 205 4 254 37 57 227 24 28 199 22 38 54 61 205 24 202 27 18 1"	"では、ほかのひとのめいわくになるので、
なるべくしずかによんでください。"	""
"0001A0BC"	"1234"	"0001B244"	"253 0 42 4 171 175 192 253 3 249 82 125 100 17 192 15 32 1"	"[FD 00]は、知力が[FD 03]ポイントあがった。"	""
"0001A0BE"	"1247"	"0001B257"	"21 61 37 41 26 37 55 0 18 33 206 42 0 53 50 48 57 254 195 18 41 19 22 18 1"	"おんなのこなら　いちどは　ゆめみる
げいのうかい。"	""
"0001A0C0"	"1261"	"0001B271"	"60 32 28 51 0 53 19 50 18 38 37 15 35 0 48 61 37 38 254 60 32 28 41 31 61 197 18 6 0 48 36 50 35 51 55 18 32 18 1 254 31 28 35 0 20 55 61 202 41 192 0 19 32 41 30 22 18 37 41 65"	"わたしも　ゆうめいになって　みんなに
わたしのそんざいを　みとめてもらいたい。
そして　えらんだのが　うたのせかいなの！"	""
"0001A0C2"	"129E"	"0001B2AE"	"22 28 13 38 37 57 38 42 0 47 199 0 21 61 192 24 254 192 15 26 19 45 0 18 23 0 227 61 23 14 19 6 254 28 37 25 58 224 0 37 56 47 30 61 1"	"かしゅになるには　まず　おんがく
がっこうへ　いき　べんきょうを
しなければ　なりません。"	""
"0001A0C4"	"12CC"	"0001B2DC"	"19 61 0 172 175 41 0 249 82 125 100 6 254 17 195 57 26 36 6 0 21 29 29 50 28 47 29 1"	"うん　体力の　ポイントを
あげることを　おすすめします。"	""
"0001A0C6"	"12E9"	"0001B2F9"	"85 80 221 72 92 78 125 6 0 19 25 57 38 42 0 47 199 254 21 61 192 24 192 15 26 19 38 0 42 18 15 35 254 227 61 23 14 19 0 28 37 18 36 40 1"	"オーディションを　うけるには　まず
おんがくがっこうに　はいって
べんきょう　しないとね。"	""
"0001A0C8"	"1317"	"0001B327"	"33 22 24 38 0 21 61 192 24 192 15 26 19 192 0 17 57 25 58 206 254 17 41 192 15 26 19 41 0 28 13 15 28 61 205 0 53 19 50 18 38 254 37 15 32 0 22 28 13 192 0 37 61 38 61 51 18 57 54 1"	"ちかくに　おんがくがっこうが　あるけれど
あのがっこうの　しゅっしんで　ゆうめいに
なった　かしゅが　なんにんもいるよ。"	""
"0001A0CA"	"1354"	"0001B364"	"27 18 23 61 0 46 61 51 41 41 22 28 13 192 254 29 24 37 18 22 55 40 1"	"さいきん　ほんもののかしゅが
すくないからね。"	""
"0001A0CC"	"136C"	"0001B37C"	"23 31 22 55 0 227 61 23 14 19 0 29 57 32 50 38 51 254 21 61 192 24 192 15 26 19 45 0 18 15 32 46 19 192 18 18 54 1"	"きそから　べんきょう　するためにも
おんがくがっこうへ　いったほうがいいよ。"	""
"0001A0CE"	"1393"	"0001B3A3"	"85 80 221 72 92 78 125 38 0 196 19 22 24 28 32 55 0 47 32 254 26 26 45 0 21 18 205 1"	"オーディションに　ごうかくしたら　また
ここへ　おいで。"	""
"0001A0D0"	"13B0"	"0001B3C0"	"247 123 218 88 92 78 125 38 0 42 18 58 32 55 0 47 32 26 26 45 254 21 18 205 1"	"プロダクションに　はいれたら　またここへ
おいで。"	""
"0001A0D2"	"13CA"	"0001B3DA"	"26 26 41 192 24 30 18 28 22 0 42 18 58 47 30 61 1"	"ここのがくせいしか　はいれません。"	""
"0001A0D4"	"13DC"	"0001B3EC"	"26 58 22 55 0 38 13 19 192 24 28 25 61 6 254 21 26 37 18 47 29 1"	"これから　にゅうがくしけんを
おこないます。"	""
"0001A0D6"	"13F3"	"0001B403"	"192 15 26 19 41 0 30 61 30 18 32 33 6 254 47 61 201 24 27 30 35 24 202 27 18 1"	"がっこうの　せんせいたちを
まんぞくさせてください。"	""
"0001A0D8"	"140E"	"0001B41E"	"26 58 192 0 22 28 13 38 37 57 32 50 41 0 93 96 80 100 254 33 35 61 0 37 61 202 60 1"	"これが　かしゅになるための　スタート
ちてん　なんだわ。"	""
"0001A0DA"	"142B"	"0001B43B"	"85 80 221 72 92 78 125 192 0 17 56 47 29 54 1 254 192 61 224 15 35 24 202 27 18 40 1"	"オーディションが　ありますよ。
がんばってくださいね。"	""
"0001A0DC"	"1447"	"0001B457"	"85 80 221 72 92 78 125 38 0 196 19 22 24 29 57 32 50 38 42 254 19 32 36 0 21 206 56 192 0 19 47 24 37 18 36 202 50 202 54 1"	"オーディションに　ごうかくするためには
うたと　おどりが　うまくないとだめだよ。"	""
"0001A0DE"	"1470"	"0001B480"	"81 82 222 121 42 0 19 61 192 34 54 24 37 18 36 254 37 58 37 18 54 1"	"アイドルは　うんがつよくないと
なれないよ。"	""
"0001A0E0"	"1487"	"0001B497"	"93 86 83 100 27 58 32 55 0 26 36 60 55 37 18 46 19 192 254 18 18 54 1"	"スカウトされたら　ことわらないほうが
いいよ。"	""
"0001A0E2"	"149F"	"0001B4AF"	"23 14 19 42 0 85 80 221 72 92 78 125 42 0 17 56 47 30 61 1"	"きょうは　オーディションは　ありません。"	""
"0001A0E4"	"14B4"	"0001B4C4"	"26 58 22 55 0 85 80 221 72 92 78 125 6 0 42 198 50 47 29 1 254 48 37 27 61 0 192 61 224 15 35 0 196 19 22 24 6 254 50 197 28 47 28 14 19 1"	"これから　オーディションを　はじめます。
みなさん　がんばって　ごうかくを
めざしましょう。"	""
"0001A0E6"	"14E3"	"0001B4F3"	"28 61 27 18 61 6 0 47 61 201 24 27 30 35 24 202 27 18 1"	"しんさいんを　まんぞくさせてください。"	""
"0001A0E8"	"14F7"	"0001B507"	"26 41 85 80 221 72 92 78 125 38 0 196 19 22 24 28 37 18 36 254 93 86 83 100 28 35 51 55 20 37 18 60 1"	"このオーディションに　ごうかくしないと
スカウトしてもらえないわ。"	""
"0001A0EA"	"1519"	"0001B529"	"196 19 22 24 0 21 50 205 36 19 65 254 26 58 22 55 51 0 192 61 224 15 35 24 202 27 18 40 1"	"ごうかく　おめでとう！
これからも　がんばってくださいね。"	""
"0001A0EC"	"1537"	"0001B547"	"54 24 192 61 224 15 32 40 1 0 247 123 218 88 92 78 125 45 254 18 15 35 196 55 61 1 0 18 47 41 23 48 37 55 254 18 58 35 51 55 20 57 0 42 199 202 54 1"	"よくがんばったね。　プロダクションへ
いってごらん。　いまのきみなら
いれてもらえる　はずだよ。"	""
"0001A0EE"	"1568"	"0001B578"	"85 80 221 72 92 78 125 38 0 196 19 22 24 29 57 24 55 18 41 254 33 22 55 192 37 18 36 0 26 26 38 42 0 42 18 58 37 18 54 1"	"オーディションに　ごうかくするくらいの
ちからがないと　ここには　はいれないよ。"	""
"0001A0F0"	"1591"	"0001B5A1"	"22 61 25 18 28 12 18 192 18 0 32 33 18 56 23 61 28 205 29 1"	"かんけいしゃいがい　たちいりきんしです。"	""
"0001A0F2"	"15A6"	"0001B5B6"	"23 48 42 0 26 41 47 20 41 0 85 80 221 72 92 78 125 38 254 196 19 22 24 28 32 0 43 36 198 12 37 18 22 65 254 19 33 41 0 247 123 218 88 92 78 125 38 0 42 18 55 37 18 22 143"	"きみは　このまえの　オーディションに
ごうかくした　ひとじゃないか！
うちの　プロダクションに　はいらないか？"	""
"0001A0F4"	"15DE"	"0001B5EE"	"23 14 19 22 55 0 23 48 42 0 26 41 247 123 218 88 92 78 125 41 254 22 28 13 202 65"	"きょうから　きみは　このプロダクションの
かしゅだ！"	""
"0001A0F6"	"15F9"	"0001B609"	"46 61 36 19 38 0 42 18 55 37 18 23 37 41 22 18 143"	"ほんとうに　はいらないきなのかい？"	""
"0001A0F8"	"160B"	"0001B61B"	"197 61 40 61 202 185 185 185 1 254 23 48 46 206 41 43 36 192 185 185 185 1"	"ざんねんだ・・・。
きみほどのひとが・・・。"	""
"0001A0FA"	"1622"	"0001B632"	"60 32 28 42 0 50 61 32 18 26 192 0 26 19 226 34 202 1 254 51 28 54 25 58 224 0 53 199 15 35 24 58 37 18 22 143"	"わたしは　めんたいこが　こうぶつだ。
もしよければ　ゆずってくれないか？"	""
"0001A0FC"	"1647"	"0001B657"	"17 56 192 36 19 1 0 21 58 18 38 0 18 18 26 36 6 254 21 28 20 54 19 1 87 76 125 248 80 125 52 122 90 80 221 72 125 210 254 38 42 0 21 22 40 192 0 43 34 54 19 202 54 1"	"ありがとう。　おれいに　いいことを
おしえよう。キャンペーンやレコーディング
には　おかねが　ひつようだよ。"	""
"0001A0FE"	"167E"	"0001B68E"	"23 48 41 0 221 230 77 80 41 43 192 0 23 47 15 32 54 1 254 192 61 224 15 35 24 58 32 47 20 1"	"きみの　デビューのひが　きまったよ。
がんばってくれたまえ。"	""
"0001A100"	"169D"	"0001B6AD"	"23 48 41 0 221 230 77 80 23 14 24 192 0 23 47 15 32 54 1 254 26 58 22 55 0 93 96 214 85 205 0 122 90 80 221 72 125 210 38 254 42 18 59 19 1"	"きみの　デビューきょくが　きまったよ。
これから　スタジオで　レコーディングに
はいろう。"	""
"0001A102"	"16CB"	"0001B6DB"	"122 90 80 221 72 125 210 42 0 36 35 51 23 61 33 14 19 29 57 1 254 93 96 79 108 36 0 21 28 12 227 56 28 35 0 120 119 79 88 93 254 29 58 224 0 30 18 26 19 0 47 33 192 18 37 28 202 59 19 1"	"レコーディングは　とてもきんちょうする。
スタッフと　おしゃべりして　リラックス
すれば　せいこう　まちがいなしだろう。"	""
"0001A104"	"1708"	"0001B718"	"122 90 80 221 72 125 210 93 96 214 85 38 0 18 15 32 18 254 37 61 41 0 54 19 205 29 22 143"	"レコーディングスタジオに　いったい
なんの　ようですか？"	""
"0001A106"	"1725"	"0001B735"	"93 96 214 85 41 28 54 19 56 14 19 36 28 35 254 129 130 128 128 128 128 127 0 18 32 202 23 47 29 192 254 54 59 28 18 205 28 14 19 22 143"	"スタジオのしようりょうとして
１２００００円　いただきますが
よろしいでしょうか？"	""
"0001A108"	"174F"	"0001B75F"	"26 41 93 96 214 85 42 0 32 202 205 42 0 22 56 55 58 37 18 54 1"	"このスタジオは　ただでは　かりられないよ。"	""
"0001A10A"	"1765"	"0001B775"	"21 22 40 6 32 50 35 0 205 37 21 28 35 24 202 27 18 1"	"おかねをためて　でなおしてください。"	""
"0001A10C"	"1778"	"0001B788"	"247 123 221 77 80 91 80 52 0 59 24 21 61 93 96 79 108 6 254 47 61 201 24 27 30 35 24 202 27 18 1"	"プロデューサーや　ろくおんスタッフを
まんぞくさせてください。"	""
"0001A10E"	"1798"	"0001B7A8"	"21 34 22 58 27 47 65 0 54 24 192 61 224 15 32 40 1 254 23 48 37 55 0 81 82 222 121 0 47 33 192 18 37 28 202 54 1 254 27 7 0 247 123 218 88 92 78 125 38 0 51 206 59 19 1"	"おつかれさま！　よくがんばったね。
きみなら　アイドル　まちがいなしだよ。
さぁ　プロダクションに　もどろう。"	""
"0001A110"	"17D0"	"0001B7E0"	"22 28 13 41 48 33 42 0 23 225 28 18 54 1 254 192 61 224 15 35 24 202 27 18 40 65"	"かしゅのみちは　きびしいよ。
がんばってくださいね！"	""
"0001A112"	"17EB"	"0001B7FB"	"38 46 61 198 61 37 55 0 20 61 22 192 18 33 224 61 1 254 31 19 21 51 60 37 18 143"	"にほんじんなら　えんかがいちばん。
そうおもわない？"	""
"0001A114"	"1806"	"0001B816"	"192 61 224 15 35 0 53 19 50 18 38 37 15 35 24 202 27 18 40 1"	"がんばって　ゆうめいになってくださいね。"	""
"0001A116"	"181B"	"0001B82B"	"23 48 38 0 87 76 125 248 80 125 38 18 15 35 51 55 18 32 18 1 254 30 18 26 19 28 32 55 0 247 122 216 125 100 6 0 17 195 54 19 1"	"きみに　キャンペーンにいってもらいたい。
せいこうしたら　プレゼントを　あげよう。"	""
"0001A118"	"1845"	"0001B855"	"221 245 80 100 41 21 24 198 14 19 205 0 87 76 125 248 80 125 6 254 28 35 24 202 27 18 1"	"デパートのおくじょうで　キャンペーンを
してください。"	""
"0001A11A"	"1861"	"0001B871"	"87 76 125 248 80 125 6 0 30 18 26 19 27 30 57 32 50 38 42 254 198 34 56 14 24 41 46 22 38 0 19 61 51 0 43 34 54 19 202 1"	"キャンペーンを　せいこうさせるためには
じつりょくのほかに　うんも　ひつようだ。"	""
"0001A11C"	"188A"	"0001B89A"	"38 61 23 192 205 58 224 0 99 122 230 23 14 24 22 55 254 28 13 34 20 61 18 55 18 192 0 24 57 22 51 40 65"	"にんきがでれば　テレビきょくから
しゅつえんいらいが　くるかもね！"	""
"0001A11E"	"18AC"	"0001B8BC"	"26 41 221 245 80 100 41 0 21 24 198 14 19 42 254 54 24 0 87 76 125 248 80 125 38 34 22 60 58 47 29 1"	"このデパートの　おくじょうは
よく　キャンペーンにつかわれます。"	""
"0001A120"	"18CD"	"0001B8DD"	"32 202 205 0 221 245 80 100 41 21 24 198 14 19 6 254 22 29 26 36 42 0 205 23 47 30 61 1"	"ただで　デパートのおくじょうを
かすことは　できません。"	""
"0001A122"	"18EA"	"0001B8FA"	"28 54 19 56 14 19 36 28 35 0 130 128 128 128 128 128 127 254 18 32 202 23 47 29 192 0 54 59 28 18 205 29 22 143"	"しようりょうとして　２０００００円
いただきますが　よろしいですか？"	""
