"name"	"ptrOffset"	"ptrBytes"	"ptrShift"	"mapLineOffset"	"mapLineEntryOffset"	"mapLineAddr"	"lineOffset"	"lineBytes"	"lineSetPtr"	"lineText"	"translation"
"roulette"	"00034664"	"A65C"	"0002A010"	"0003466C"	"00034670"	"22E9"	"000346B8"	"131 185 135 0 202 18 119 79 87 80 0 130 185 134 0 119 79 87 80"	""	"３・７　だいラッキー　２・６　ラッキー"	""
"roulette"	"00034664"	"A65C"	"0002A010"	"0003466C"	"00034674"	"2329"	"000346CC"	"132 185 136 0 93 80 245 80 119 79 87 80"	""	"４・８　スーパーラッキー"	""
"roulette"	"00034666"	"A66A"	"0002A010"	"0003467A"	"0003467A"	"22A9"	"000346D9"	"130 185 134 0 81 125 119 79 87 80 0 132 185 136 0 105 80 111 121"	""	"２・６　アンラッキー　４・８　ノーマル"	""
"roulette"	"00034666"	"A66A"	"0002A010"	"0003467A"	"0003467E"	"22E9"	"000346ED"	"137 185 186 0 202 18 119 79 87 80 0 129 185 133 0 119 79 87 80"	""	"９・１０　だいラッキー　１・５　ラッキー"	""
"roulette"	"00034666"	"A66A"	"0002A010"	"0003467A"	"00034682"	"2329"	"00034701"	"131 185 135 0 93 80 245 80 119 79 87 80"	""	"３・７　スーパーラッキー"	""
"roulette"	"00034668"	"A678"	"0002A010"	"00034688"	"00034688"	"22A9"	"0003470E"	"131 185 135 0 81 125 119 79 87 80 0 129 185 133 0 105 80 111 121"	""	"３・７　アンラッキー　１・５　ノーマル"	""
"roulette"	"00034668"	"A678"	"0002A010"	"00034688"	"0003468C"	"22E9"	"00034722"	"137 185 186 0 202 18 119 79 87 80 0 132 185 136 0 119 79 87 80"	""	"９・１０　だいラッキー　４・８　ラッキー"	""
"roulette"	"00034668"	"A678"	"0002A010"	"00034688"	"00034690"	"2329"	"00034736"	"130 185 134 0 93 80 245 80 119 79 87 80"	""	"２・６　スーパーラッキー"	""
"roulette"	"0003466A"	"A686"	"0002A010"	"00034696"	"00034696"	"22A9"	"00034743"	"132 185 136 0 81 125 119 79 87 80 0 130 185 134 0 105 80 111 121"	""	"４・８　アンラッキー　２・６　ノーマル"	""
"roulette"	"0003466A"	"A686"	"0002A010"	"00034696"	"0003469A"	"22E9"	"00034757"	"129 185 133 0 202 18 119 79 87 80 0 131 185 135 0 119 79 87 80"	""	"１・５　だいラッキー　３・７　ラッキー"	""
"roulette"	"0003466A"	"A686"	"0002A010"	"00034696"	"0003469E"	"2329"	"0003476B"	"137 185 186 0 93 80 245 80 119 79 87 80"	""	"９・１０　スーパーラッキー"	""
