"ptrOffset"	"ptrBytes"	"strOffset"	"strText"	"translation"
"0001E14A"	"8457"	"0001E467"	"たおすことができん　かならず　さがすのじゃ!!"	""
"0001E14C"	"846E"	"0001E47E"	"おぬし　りゅうこつきの　しろを　しっておるか"	""
"0001E14E"	"8485"	"0001E495"	"ぼすの　へやは　すぐそこじゃ!!"	""
"0001E150"	"8495"	"0001E4A5"	"おぬしの　いまの　ちからで　たおせるかのう。"	""
"0001E152"	"84AC"	"0001E4BC"	"りゅうこつきは　たおせたのかのう"	""
"0001E154"	"84BD"	"0001E4CD"	"しんでも　しにきれぬと　いうのなら　ばばが"	""
"0001E156"	"84D3"	"0001E4E3"	"そなたを　もういちど　よみがえらせて　やっても"	""
"0001E158"	"84EB"	"0001E4FB"	"よいがのう"	""
"0001E15A"	"84F1"	"0001E501"	"よみがえる"	""
"0001E15C"	"84F7"	"0001E507"	"よみがえらない"	""
"0001E15E"	"84FF"	"0001E50F"	"こんじょうの　ないやつじゃのう、、、。"	""
"0001E160"	"8513"	"0001E523"	"じゃが　そなたが　いつのひか　ふたたび"	""
"0001E162"	"8527"	"0001E537"	"りゅうこつきに　たちむかうひが　くるとしんじて"	""
"0001E164"	"853F"	"0001E54F"	"ふっかつの　じゅもんを　さずけてやろう"	""
"0001E166"	"8553"	"0001E563"	"いらしゃいまし"	""
"0001E168"	"855B"	"0001E56B"	"わかいの　なにか　かわんかね"	""
"0001E16A"	"856A"	"0001E57A"	"まいどあり"	""
"0001E16C"	"8570"	"0001E580"	"まだ　なにか　かうかね"	""
"0001E16E"	"857C"	"0001E58C"	"それぐらいの　かせぎじゃぁ　うれないね"	""
"0001E170"	"8590"	"0001E5A0"	"もう　うるものは　ないのう"	""
"0001E172"	"859E"	"0001E5AE"	"またきておくれ"	""
"0001E174"	"85A6"	"0001E5B6"	"ひっひっひっ。　のろわれた　じごくへ　ようこそ。"	""
"0001E176"	"85BF"	"0001E5CF"	"もし　そなたが"	""
"0001E178"	"85C7"	"0001E5D7"	"まことの　ゆうきを　もつものならば"	""
"0001E17A"	"85D9"	"0001E5E9"	"みごと　りゅうこつきを　たおし"	""
"0001E17C"	"85E9"	"0001E5F9"	"そなたの　せんぞから　つたわる　かほうの"	""
"0001E17E"	"85FE"	"0001E60E"	"はどうけんを　とりもどしてまいれ。"	""
"0001E180"	"8627"	"0001E637"	"この　じごくかいには　しまが　よっつ　ある"	""
"0001E182"	"863D"	"0001E64D"	"しまには　たくさん　みせがあるから"	""
"0001E184"	"864F"	"0001E65F"	"そこで　ぶきを　かうと　よかろう。"	""
"0001E186"	"8661"	"0001E671"	"ふぉっ　ふぉっ　ふぉっ"	""
"0001E188"	"866D"	"0001E67D"	"おぬし　かわった　けんを　もっておるのう"	""
"0001E18A"	"8682"	"0001E692"	"わしは　これに　よくにた　けんを"	""
"0001E18C"	"86AA"	"0001E6BA"	"ここまで　いきてこれるとは　そうとうなうでまえじゃ"	""
"0001E18E"	"86C4"	"0001E6D4"	"このしまは　てんくうかいからおちた　みつくびりゅうの"	""
"0001E190"	"86DF"	"0001E6EF"	"ほねで　できた　みつくびとうじゃ。"	""
"0001E192"	"86F1"	"0001E701"	"おぬしが　これからも　ぶじで　いられるよう"	""
"0001E194"	"8707"	"0001E717"	"このじじが　いのってやろう。"	""
"0001E196"	"8716"	"0001E726"	"ばぶで　やんゆじゅ　ほいみ　れろれろ、、、"	""
"0001E198"	"8C06"	"0001EC16"	"ここは　じゃあくなる　まじんたちの　すむ"	""
"0001E19A"	"8C1B"	"0001EC2B"	"ごくもんとうじや。"	""
"0001E19C"	"8C25"	"0001EC35"	"りゅうこつきに　ころされ　うかばれぬ　たましいを"	""
"0001E19E"	"872C"	"0001E73C"	"よくぞ　ここまで　やってきた"	""
"0001E1A0"	"873B"	"0001E74B"	"おぬしの　さがす　ものは　もう　まぢかじゃ"	""
"0001E1A2"	"8751"	"0001E761"	"だが　あんしんするのは　まだはやいぞ"	""
"0001E1A4"	"8764"	"0001E774"	"おぬしに　これを　さずけよう。"	""
"0001E1A6"	"8610"	"0001E620"	"さっ!!　ゆけ　りゅうこつきを　たおすのじゃ!!"	""
"0001E1A8"	"8693"	"0001E6A3"	"みなみの　どうくつで　みたことが　あるわい。"	""
"0001E1AA"	"883E"	"0001E84E"	"これは　もう　むかしばなしとも　よげんともつかぬ"	""
"0001E1AC"	"8857"	"0001E867"	"まぼろしの　でんせつじゃ"	""
"0001E1AE"	"8864"	"0001E874"	"はるかなときをこえ、まれき　がんねん　りゅうこつきが"	""
"0001E1B0"	"887F"	"0001E88F"	"じごくかいより　めざめた。ちじょうかいの　へいわを"	""
"0001E1B2"	"8899"	"0001E8A9"	"まもるために、ふうまは　たちむかったのじゃが、ともに"	""
"0001E1B4"	"88B4"	"0001E8C4"	"たたかった　あに　ふたりは　りゅうこつきに　ころされ"	""
"0001E1B6"	"88CF"	"0001E8DF"	"かほうの　はどうけんも　うばわれてしまった。じゃが、"	""
"0001E1B8"	"88EA"	"0001E8FA"	"ふうまは　かなしみを　ふくしゅうの　きもちにかえ、"	""
"0001E1BA"	"8904"	"0001E914"	"かならず　りゅうこつきを　たおし、はどうけんを"	""
"0001E1BC"	"891C"	"0001E92C"	"とりもどすことを　ふたりの　あにの　たましいに"	""
"0001E1BE"	"8934"	"0001E944"	"ちかったのじゃ。"	""
"0001E1C0"	"893D"	"0001E94D"	"おお、いま　そなたの　うしろに　ふうまが　みえる。"	""
"0001E1C2"	"8957"	"0001E967"	"ふうまの　でんせつが　よみがえったのじゃ。めざすは"	""
"0001E1C4"	"8971"	"0001E981"	"きょうきとう、りゅうこつきのすむ　まの　しまじゃ!!"	""
"0001E1C6"	"8774"	"0001E784"	"よくぞ　こられた　ゆうかんな　せんしよ!!"	""
"0001E1C8"	"8789"	"0001E799"	"ここは　おにの　かおと　かいて　きがんとう"	""
"0001E1CA"	"87F7"	"0001E807"	"おお　ゆうかんな　わかものじゃ"	""
"0001E1CC"	"8807"	"0001E817"	"さっ　もっと　ちかくによれ"	""
"0001E1CE"	"8AE7"	"0001EAF7"	"むむ。　うんのいいやつ　きめんふを　やろう"	""
"0001E1D0"	"8815"	"0001E825"	"いいものを　さずけよう。"	""
"0001E1D2"	"8BB4"	"0001EBC4"	"この　おに!!　わしの　かわいい　じゃきが、、、"	""
"0001E1D4"	"8BCC"	"0001EBDC"	"ぐう　ぐう　ぐう"	""
"0001E1D6"	"8822"	"0001E832"	"ゆうかんな　わかものよ　ぶじに"	""
"0001E1D8"	"8832"	"0001E842"	"たびを　つづけなされ。"	""
"0001E1DA"	"898B"	"0001E99B"	"ここを　とおるもの　きめんふ　なしでは　とおせぬ"	""
"0001E1DC"	"89A4"	"0001E9B4"	"おぬし　きめんふを　もっておるか!!"	""
"0001E1DE"	"89B6"	"0001E9C6"	"とおっても　いいおに!!"	""
"0001E1E0"	"89C2"	"0001E9D2"	"きめんふ　もたぬもの　とうりゃんせ　とうりゃんせ。"	""
"0001E1E2"	"89DC"	"0001E9EC"	"うそを　つくもの　したを　ぬくぞ!!"	""
"0001E1E4"	"89EE"	"0001E9FE"	"ここを　とおるもの　きめんふ　ふたつ　なしでは"	""
"0001E1E6"	"8A06"	"0001EA16"	"とおせぬ。"	""
"0001E1E8"	"8A0C"	"0001EA1C"	"ごうかあく!!"	""
"0001E1EA"	"8A13"	"0001EA23"	"ふごうかあく!!"	""
"0001E1EC"	"8A1B"	"0001EA2B"	"うそつきは　はりを　のませるぞ!!!!"	""
"0001E1EE"	"8A2D"	"0001EA3D"	"ここを　とおるもの　きめんふ　みっつ　なしでは"	""
"0001E1F0"	"8A06"	"0001EA16"	"とおせぬ。"	""
"0001E1F2"	"8A45"	"0001EA55"	"おとおりめされい!!"	""
"0001E1F4"	"8A4F"	"0001EA5F"	"ふぎゃうぎゃ!!　がおうっ!!　ぎいいっ!!"	""
"0001E1F6"	"8A63"	"0001EA73"	"なめんじゃねえよ!!"	""
"0001E1F8"	"8A6D"	"0001EA7D"	"ひっ　ひっ　ひっ　　おぬしきめんふが　ほしかろう"	""
"0001E1FA"	"8A86"	"0001EA96"	"ほしくば　じゃきと　たたかうべし!!"	""
"0001E1FC"	"8A98"	"0001EAA8"	"おぬし　たたかうか!!"	""
"0001E1FE"	"8AA3"	"0001EAB3"	"ひっ　ひっ　ひっ　おくびょうもの　おくびょうもの!!"	""
"0001E200"	"8ABD"	"0001EACD"	"きめんふを　やるべきかやらざるべきか"	""
"0001E202"	"8AD0"	"0001EAE0"	"それが　もんだいじゃ"	""
"0001E204"	"8ADB"	"0001EAEB"	"やる"	""
"0001E206"	"8ADE"	"0001EAEE"	"やらない"	""
"0001E208"	"8AE3"	"0001EAF3"	"おっ!!"	""
"0001E20A"	"8AFD"	"0001EB0D"	"おぬし　かねは　もっておるか!!"	""
"0001E20C"	"8B0D"	"0001EB1D"	"きゃっしゅが　あれば　きめんふを　やろう。"	""
"0001E20E"	"8B23"	"0001EB33"	"じごくのさたも　かねしだい　ひっひっひっ。"	""
"0001E210"	"8B39"	"0001EB49"	"ひっひっひっ　きまえが　よいのう　おぬし"	""
"0001E212"	"8B4E"	"0001EB5E"	"じやが　かねだけでは　やるわけには　いかん"	""
"0001E214"	"8B64"	"0001EB74"	"じゃきと　たたかってもらうよ　ひっひっひっ。"	""
"0001E216"	"8B7B"	"0001EB8B"	"びんぼうは　きらいじゃ!!"	""
"0001E218"	"8B88"	"0001EB98"	"うそつきの　びんぼうにんは　だいきらいじゃ!!"	""
"0001E21A"	"8BED"	"0001EBFD"	"　　　　　　　　はい　　　　いいえ　　　　　　　"	""
"0001E21C"	"879F"	"0001E7AF"	"ころされた　おにたちの　おんねんが　さまよう"	""
"0001E21E"	"87B6"	"0001E7C6"	"のろいの　しまじゃ!!"	""
"0001E220"	"87C1"	"0001E7D1"	"とくに　たたりの　どうくつへは　ちかづかぬがよい"	""
"0001E222"	"87DA"	"0001E7EA"	"ゆきばのない　うらみの　たましいに"	""
"0001E224"	"87EC"	"0001E7FC"	"くわれてしまうぞよ!!"	""
"0001E226"	"8C3E"	"0001EC4E"	"しずめてやれるのは　おぬしだけじゃ!!"	""
"0001E228"	"8C51"	"0001EC61"	"おぬしの　さがしもとめる　はどうけんは"	""
"0001E22A"	"8C65"	"0001EC75"	"どうくつの　どこかにある。"	""
"0001E22C"	"8BD5"	"0001EBE5"	"みどころの　あるやつ。　てきながら　あっぱれ!!"	""
"0001E22E"	"8B9F"	"0001EBAF"	"にひゃく　ほど　はらってもらいまひょか。"	""
"0001E230"	"8C73"	"0001EC83"	"りゅうこつきの　しろは　きょうきとうの"	""
"0001E232"	"8C87"	"0001EC97"	"まんなかに　たかく　そびえたっておるのじゃ!!"	""
