"scenePtrOffset"	"ptrOffset"	"lineOffset"	"strBytes"	"prefix"	"scene"	"name"	"strText"	"translation"
"017C8E"	"0014"	"0310"	"A2 03 B2 D4 C0 DE B0 21 A3 09"	"05 05 1E 0A 49"	"scene01"	"Common troop (dying)"	"「いやだー!」[pause09]"	"Noooo!"
"017C8E"	"0016"	"0320"	"A2 02 BD D7 AF BC AD 03 C0 B2 A4 B1 C4 CA CF B6 BE C0 BF DE A5 A5 A5 A3 09"	"05 05 1E 0A 4F"	"scene01"	"Commander (dying)"	"「スラッシュたい、あとはまかせたぞ・・・」[pause09]"	"The rest is up to you, Slash team..."
"017C8E"	"0018"	"033F"	"A2 A3"	"05 05 1E 0A 37"	"scene01"	"Commander"	"「」"	
"017C8E"	"001A"	"0347"	"A2 03 D3 B3 C0 DE D2 A5 A5 A5 A3 08"	"05 05 1E 0A 3D"	"scene01"	"Operator (dying)"	"「もうだめ・・・」[pause]"	"It's over..."
"017C8E"	"001C"	"0359"	"A2 A3"	"05 05 1E 0A 43"	"scene01"	"Operator2 (dying)"	"「」"	
"017C8E"	"001E"	"0361"	"A2 02 B6 D8 B0 03 BB CF A5 CA A5 CA C5 BC B6 DE A5 C1 B6 DE A5 A5 A5 A3 09"	"05 05 1E 0A 55"	"scene01"	"Enemy troop (dying)"	"「カリーさま・は・はなしが・ちが・・・」[pause09]"	"Carey! T-This is nothing like you said--"
"017C8E"	"0020"	"0380"	"A2 03 C5 C6 B5 B0 21 A3 09"	"05 05 1E 0A 5B"	"scene01"	"Enemy troop2 (dying)"	"「なにおー!」[pause09]"	"Whaaat!?"
"017C8E"	"0022"	"038F"	"A2 03 CA DE B6 C5 AF 21 20 BA C9 B5 DA BB CF B6 DE A5 A5 A5 A3 08"	"05 05 1E 0A 61"	"scene01"	"Curry Goat (dying)"	"「ばかなっ! このおれさまが・・・」[pause]"	"Impossible!! This can't happen to me!!"
"017C8E"	"0024"	"03AB"	"A2 03 B5 CF B4 D7 A4 C5 C6 A6 BC C3 B2 D9 A5 A5 A5 A3 08"	"05 05 1E 0A 62"	"scene01"	"Curry Goat (normal2)"	"「おまえら、なにをしている・・・」[pause]"	"What's with the holdup!?"
"017C8E"	"0026"	"03C4"	"A2 03 C3 B7 C9 BC DD B6 DE C0 C9 02 CD DE B8 C0 B0 03 B6 DE B5 D3 B2 C9 CE B6 01 01 20 C2 D6 B8 A5 A5 A5 A3 08"	"05 05 1E 0A 54"	"scene01"	"Enemy troop (normal)"	"「てきのしんがたのベクターがおもいのほか

 つよく・・・」[pause]"	"Sir! The enemy is using new VECTOR models!
_
They're stronger than we thought!"
"017C8E"	"0028"	"03EF"	"A2 03 BC DD B6 DE C0 02 CD DE B8 C0 B0 3F 03 B2 C1 B5 B3 02 CC D7 DD C8 D9 03 BB CF C6 20 CE B3 BA B8 BC C3 B5 B8 B6 3F A3 08"	"05 05 1E 0A 62"	"scene01"	"Curry Goat (normal2)"	"「しんがたベクター?いちおうフランネルさまに ほうこくしておくか?」[pause]"	"New models, huh? Let me report back to Flannel just to be safe."
"017C8E"	"002A"	"041F"	"A2 02 CC D7 DD C8 D9 03 BB CF A4 C3 B7 C9 BC DD B6 DE C0 02 CD DE B8 C0 B0 03 B6 DE 01 01 20 B1 D7 DC DA CF BC C0 A1 B4 B2 BF DE B3 A6 B5 B8 D8 CF BD A1 A3 08"	"05 05 1E 0A 62"	"scene01"	"Curry Goat (normal2)"	"「フランネルさま、てきのしんがたベクターが

 あらわれました。えいぞうをおくります。」[pause]"	"Sir, the enemy has sent new VECTOR models. I'm sending our footage."
"017C8E"	"002C"	"045A"	"A2 03 CE B3 A4 BA DA B6 DE 02 D2 D8 BD DE CF CA B0 CC DF 03 C9 02 CD DE B8 C0 B0 03 B6 01 01 20 02 B6 D8 B0 03 B7 A6 C2 B9 DB A1 A3 08"	"05 05 1E 0A 66"	"scene01"	"Flannel Mouse (normal)"	"「ほう、これがメリズマハープのベクターか

 カリーきをつけろ。」[pause]"	"Hmm, so these are the VECTORs produced by Merisma Harp.
_
Be careful, Carey."
"017C8E"	"002E"	"048D"	"A2 03 C1 AE B3 C4 DE CB CF C0 DE AF C0 C4 BA DB C3 DE BD A1 01 01 20 BA C9 02 B6 D8 B0 BA DE B0 C4 03 C6 B5 CF B6 BE A6 21 A3 08"	"05 05 1E 0A 62"	"scene01"	"Curry Goat (normal2)"	"「ちょうどひまだったところです。

 このカリーゴートにおまかせを!」[pause]"	"Heh, I was just starting to get bored. You can leave them to me!"
"017C8E"	"0030"	"04BE"	"0A 20 A2 02 BD D7 AF BC AD 03 CC DE C0 B2 21 20 02 BD D7 AF BC AD 03 CC DE C0 B2 21 01 01 20 B5 B3 C4 B3 C8 B6 DE B2 CF BD A1 A3 08"	"05 05 1E 0A 3C"	"scene01"	"Operator (normal)"	"[music: 20] 「スラッシュぶたい! スラッシュぶたい!

 おうとうねがいます。」[pause]"	"Slash team! Slash team! Please respond!"
"017C8E"	"0032"	"04F0"	"A2 03 BA C1 D7 A4 02 BD D7 AF BC AD 03 CC DE C0 B2 01 01 20 C4 B3 C1 AC B8 BC C0 C4 BA DB C3 DE BD A1 A3 08"	"05 05 1E 0A 00"	"scene01"	"Takuya Murasawa (normal)"	"「こちら、スラッシュぶたい

 とうちゃくしたところです。」[pause]"	"This is Slash team. We're here."
"017C8E"	"0034"	"051A"	"A2 03 C0 C0 DE B2 CF C3 B7 C4 BA B3 BE DD C1 AD B3 21 21 01 01 20 BE DD B7 AE B3 CA D6 B8 B1 D8 CF BE DD A1 01 01 20 BC B7 AD B3 B4 DD BA DE C8 B6 DE B2 CF BD A1 A3 08"	"05 05 1E 0A 3C"	"scene01"	"Operator (normal)"	"「ただいまてきとこうせんちゅう!!

 せんきょうはよくありません。

 しきゅうえんごねがいます。」[pause]"	"We are under attack! The situation is still unclear.
_
Please provide immediate support!"
"017C8E"	"0036"	"0558"	"A2 03 B5 B2 A4 B5 B2 21 20 CF C0 DE A4 C0 C0 B6 AF C3 C0 C9 B6 D6 01 01 20 BE DC A6 D4 B6 BC C3 B8 DA D9 BE DE A1 A3 08"	"05 05 1E 0A 0A"	"scene01"	"Mack Ryan (happy)"	"「おい、おい! まだ、たたかってたのかよ

 せわをやかしてくれるぜ。」[pause]"	"Geez, we're fighting again? This is starting to get tiring."
"017C8E"	"0038"	"0586"	"A2 03 C3 B7 C9 BE DD D8 AE B8 A6 B5 BC B4 C3 B8 DA C5 B2 B6 3F A3 08"	"05 05 1E 0A 0C"	"scene01"	"Harry Gibson (normal)"	"「てきのせんりょくをおしえてくれないか?」[pause]"	"What are we up against?"
"017C8E"	"003A"	"05A3"	"A2 03 D0 B6 B8 C6 DD C9 02 CD DE B8 C0 B0 03 B6 DE 39 C0 B2 C3 DE BD A1 A3 08"	"05 05 1E 0A 3C"	"scene01"	"Operator (normal)"	"「みかくにんのベクターが9たいです。」[pause]"	"Nine VECTORs of unknown affiliation have been spotted."
"017C8E"	"003C"	"05C3"	"A2 03 CF BB B6 A4 B5 DA C9 B7 D7 B2 C5 20 B6 B8 C4 B3 BE DD D6 B3 C9 20 02 B8 DE D7 AF CC DF C0 B2 CC DF 03 C9 CA B2 C5 B2 C0 DE DB B3 C5 3F A3 08"	"05 05 1E 0A 09"	"scene01"	"Mack Ryan (worried)"	"「まさか、おれのきらいな かくとうせんようの グラップタイプのはいないだろうな?」[pause]"	"There's no close-ranged Grap-type, is there?
_
I hate those."
"017C8E"	"003E"	"05FA"	"A2 03 CA B2 A4 02 B8 DE D7 AF CC DF C0 B2 CC DF 03 CA 36 C0 B2 C3 DE A4 BC AC B9 DE B7 01 01 20 BE DD D6 B3 C9 02 B6 DE DD C5 B0 C0 B2 CC DF 33 03 C0 B2 C3 DE BD B6 DE A1 A3 08"	"05 05 1E 0A 3C"	"scene01"	"Operator (normal)"	"「はい、グラップタイプは6たいで、しゃげき

 せんようのガンナータイプ3たいですが。」[pause]"	"Yes, there are six Grap-types, and three long-ranged Gunner-types."
"017C8E"	"0040"	"063B"	"A2 03 C5 DD C3 BA AF C0 B2 21 21 A3 08"	"05 05 1E 0A 09"	"scene01"	"Mack Ryan (worried)"	"「なんてこったい!!」[pause]"	"Oh come on!"
"017C8E"	"0042"	"064E"	"A2 03 D4 DA D4 DA A4 BB B7 B6 DE B5 D3 B2 D4 D7 DA D9 C5 A1 A3 08"	"05 05 1E 0A 0C"	"scene01"	"Harry Gibson (normal)"	"「やれやれ、さきがおもいやられるな。」[pause]"	"This is going to be fun, isn't it?"
"017C8E"	"0044"	"066A"	"A2 03 C5 C6 A6 BC C3 B2 D9 A4 B7 C1 C0 DE A4 B7 C1 A6 C8 D7 B4 21 A3 08"	"05 05 1E 0A 60"	"scene01"	"Curry Goat (normal)"	"「なにをしている、きちだ、きちをねらえ!」[pause]"	"What are you doing!? Just target their base already!"
"017C8E"	"0046"	"0688"	"0A 1F A2 03 BA DA B6 DE 02 CC D7 DD C8 D9 03 BB CF B6 DE C8 D7 B3 CB D0 C2 B7 C1 B6 21 20 DC C0 BC C9 C3 C6 B6 B6 DA CA DE A4 BA DD C5 D3 C9 CA A5 A5 A5 A3 08"	"05 05 1E 0A 60"	"scene01"	"Curry Goat (normal)"	"[music: 1F] 「これがフランネルさまがねらうひみつきちか! わたしのてにかかれば、こんなものは・・・」[pause]"	"So this is the secret base Flannel mentioned, huh?
_
I don't see what's the big deal..."
"017C8E"	"0048"	"06C3"	"A2 02 B6 D8 B0 03 BB CF A1 B7 C1 B6 D7 B9 DE B2 B9 DE B7 C9 02 BB DE B0 C4 DE 03 B6 DE 01 01 20 D1 B6 AF C3 CF B2 D8 CF BC C0 21 A3 08"	"05 05 1E 0A 54"	"scene01"	"Enemy troop (normal)"	"「カリーさま。きちからげいげきのザードが

 むかってまいりました!」[pause]"	"Sir! They've sent SERDs to intercept us!"
"017C8E"	"004A"	"06F6"	"A2 03 CF B1 BB DC B8 DE C5 21 20 02 BB DE B0 C4 DE 03 C5 C4 DE D3 CA D4 02 CD DE B8 C0 B0 03 C9 20 C3 B7 C3 DE CA C5 B2 A1 A3 08"	"05 05 1E 0A 60"	"scene01"	"Curry Goat (normal)"	"「まあさわぐな! ザードなどもはやベクターの てきではない。」[pause]"	"Bah, no need to panic. SERDs are toys compared to our VECTORs."
"017C8E"	"004C"	"0727"	"A2 03 C5 D9 CE C4 DE A4 BF DA C3 DE 02 CC D7 DD C8 D9 03 BB CF CA C0 B2 B7 BC C3 20 B2 D9 DC B9 C3 DE BD C8 A1 A3 08"	"05 05 1E 0A 54"	"scene01"	"Enemy troop (normal)"	"「なるほど、それでフランネルさまはたいきして いるわけですね。」[pause]"	"I see. That explains why Flannel didn't bother to come."
"017C8E"	"004E"	"0754"	"A2 03 D6 BC A4 B5 CF B4 D7 B2 B8 BF DE 21 A3 08"	"05 05 1E 0A 60"	"scene01"	"Curry Goat (normal)"	"「よし、おまえらいくぞ!」[pause]"	"That's enough chatting! Let's do this!"
"017C8E"	"0050"	"076A"	"0A 22 A2 03 C5 DD C4 B6 CC BE B9 DE C0 C5 A7 21 A3 08"	"05 05 1E 0A 04"	"scene01"	"Takuya Murasawa (happy)"	"[music: 22] 「なんとかふせげたなぁ!」[pause]"	"Whew! We did it somehow!"
"017C8E"	"0052"	"0782"	"A2 03 D0 C5 BB DD A4 B1 D8 B6 DE C4 B3 BA DE BB DE B2 CF BD A1 A3 08"	"05 05 1E 0A 3C"	"scene01"	"Operator (normal)"	"「みなさん、ありがとうございます。」[pause]"	"Thank you, Slash team."
"017C8E"	"0054"	"079F"	"A2 03 CD AF A4 C1 AE DB B2 D3 DD C0 DE BE DE 21 A3 08"	"05 05 1E 0A 0A"	"scene01"	"Mack Ryan (happy)"	"「へっ、ちょろいもんだぜ!」[pause]"	"Hah! Easy as pie!"
"017C8E"	"0056"	"07B7"	"A2 03 B1 AF A4 BF B3 C0 DE A1 20 02 BD D7 AF BC AD 03 C0 B2 C9 D0 C5 BB DD C6 20 BF B3 BC DA B2 B6 DD B6 D7 C9 02 D2 AF BE B0 BC DE 03 B6 DE B1 D8 CF BD A1 20 BF DA C3 DE CA BF C1 D7 C6 BF B3 BC DD BC CF BD A1 A3 08"	"05 05 1E 0A 3C"	"scene01"	"Operator (normal)"	"「あっ、そうだ。 スラッシュたいのみなさんに そうしれいかんからのメッセージがあります。 それではそちらにそうしんします。」[pause]"	"The Grand Marshal has a message for you. Transmitting to your channel."
"017C8E"	"0058"	"0805"	"A2 02 BD D7 AF BC AD 03 C0 B2 C9 BC AE B8 DD A4 B6 C2 D4 B8 BA DE B8 DB B3 20 C4 B2 B2 C0 B2 C4 BA DB C5 C9 C0 DE B6 DE A4 B7 D0 C0 C1 C6 CA BD B8 DE 20 D1 B6 AF C3 D3 D7 B2 C0 B2 C4 BA DB B6 DE B1 D9 C9 C0 DE B6 DE A1 A3 08"	"05 05 1E 0A 36"	"scene01"	"Commander"	"「スラッシュたいのしょくん、かつやくごくろう といいたいところなのだが、きみたちにはすぐ むかってもらいたいところがあるのだが。」[pause]"	"Slash team. I would take more time to congratulate you for your hard work, but I have a new mission for you."
"017C8E"	"005A"	"0856"	"A2 03 BF DA CA B2 AF C0 B2 C4 DE B3 B2 B3 BA C4 C3 DE BD B6 3F A3 08"	"05 05 1E 0A 00"	"scene01"	"Takuya Murasawa (normal)"	"「それはいったいどういうことですか?」[pause]"	"Has something happened, Sir?"
"017C8E"	"005C"	"0873"	"A2 03 B3 D1 AF A4 BA BA B6 D7 CB B6 DE BC C6 D1 B6 AF C0 C4 BA DB C6 01 01 20 C3 B7 D7 BC B7 D3 C9 B6 DE B2 D9 C9 C0 DE A1 A3 08"	"05 05 1E 0A 36"	"scene01"	"Commander"	"「うむっ、ここからひがしにむかったところに

 てきらしきものがいるのだ。」[pause]"	"We have detected an enemy signal coming from the East."
"017C8E"	"005E"	"08A4"	"A2 03 C5 DD C0 DE D6 A4 CF C0 DE C3 B7 B6 DE B2 D9 C9 B6 D6 A5 A5 A3 08"	"05 05 1E 0A 0A"	"scene01"	"Mack Ryan (happy)"	"「なんだよ、まだてきがいるのかよ・・」[pause]"	"They don't give us much time to rest, do they?"
"017C8E"	"0060"	"08C2"	"A2 03 DC B6 D8 CF BC C0 A1 01 01 20 CE B7 AD B3 C4 BC AD B3 D8 B6 DE BD D0 BC C0 DE B2 01 01 20 BF C1 D7 C6 D1 B6 B2 CF BD A1 A3 08"	"05 05 1E 0A 00"	"scene01"	"Takuya Murasawa (normal)"	"「わかりました。

 ほきゅうとしゅうりがすみしだい

 そちらにむかいます。」[pause]"	"Understood. We will head there as soon as we're done with maintenance."
"017C8E"	"0062"	"08F4"	"A2 03 C0 C9 DD C0 DE BF DE 21 A3 08"	"05 05 1E 0A 36"	"scene01"	"Commander"	"「たのんだぞ!」[pause]"	"I'm counting on you!"
"017C8E"	"0064"	"0906"	"A2 03 C0 DE B6 DE C4 DE B3 BC C3 A4 BA BA C9 CA DE BC AE B6 DE DC B6 AF C0 C9 01 01 20 C0 DE DB B3 B6 A5 A5 A5 3F A3 08"	"05 05 1E 0A 0C"	"scene01"	"Harry Gibson (normal)"	"「だがどうして、ここのばしょがわかったの

 だろうか・・・?」[pause]"	"I wonder how they knew about this location..."
"017C8E"	"0066"	"0934"	"0A 25 A2 03 C0 B2 C1 AE B3 A4 C3 B7 C4 C9 C1 B6 D7 B6 DE C1 B6 DE B2 BD B7 DE CF BD 20 BA C9 CF CF C3 DE CA A5 A5 A5 A3 08"	"05 05 1E 0A 48"	"scene01"	"Common troop (normal)"	"[music: 25] 「たいちょう、てきとのちからがちがいすぎます このままでは・・・」[pause]"	"Commander, they're too strong! At this rate...!"
"017C8E"	"0068"	"0963"	"A2 03 B8 BF AF A4 02 BD D7 AF BC AD 03 CC DE C0 B2 CA CF C0 DE B6 21 A3 08"	"05 05 1E 0A 4E"	"scene01"	"Commander (normal)"	"「くそっ、スラッシュぶたいはまだか!」[pause]"	"Dammit! What's the Slash team doing!?"
"017C8E"	"006A"	"0982"	"A2 03 B1 C4 BD BA BC C0 DE A4 D3 C1 BA C0 B4 C3 B8 DA 21 A3 08"	"05 05 1E 0A 00"	"scene01"	"Takuya Murasawa (normal)"	"「あとすこしだ、もちこたえてくれ!」[pause]"	"We're almost there! Please hold out just a bit longer!"
"017C8E"	"006C"	"099D"	"A2 03 B5 B2 B5 B2 A4 CA D4 B8 BC C8 AA C4 01 01 20 D0 B6 C0 B6 DE B2 C5 B8 C5 AF C1 CF B3 BE DE A3 08"	"05 05 1E 0A 0A"	"scene01"	"Mack Ryan (happy)"	"「おいおい、はやくしねぇと

 みかたがいなくなっちまうぜ」[pause]"	"Hey, if we don't hurry we're gonna lose all of our cannon fodder!"
"017C92"	"0000"	"0200"	"A2 02 CD DE DD 03 B6 DD C1 AE B3 C6 B1 B4 C5 B6 AF C0 B6 A5 A5 A5 A3 08"	"05 05 1E 0A 01"	"scene02"	"Takuya Murasawa (dying)"	"「ベンかんちょうにあえなかったか・・・」[pause]"	"I didn't manage to reach Captain Ben..."
"017C92"	"0002"	"021E"	"A2 03 CD CD AF 20 C1 AE B3 BC C6 C9 D8 BD B7 DE C0 B6 C5 A5 A5 A5 A3 08"	"05 05 1E 0A 07"	"scene02"	"Mack Ryan (dying)"	"「へへっ ちょうしにのりすぎたかな・・・」[pause]"	"Heh... I guess I got overconfident..."
"017C92"	"0004"	"023C"	"A2 03 B8 AF A5 A5 21 20 C3 B7 D3 C5 B6 C5 B6 D4 D9 C5 A5 A5 A5 A3 08"	"05 05 1E 0A 0D"	"scene02"	"Harry Gibson (dying)"	"「くっ・・! てきもなかなかやるな・・・」[pause]"	"Urgh...! They're pretty good..."
"017C92"	"0006"	"0259"	"A2 03 C1 B8 BC AE B3 A4 BA DA CF C3 DE B6 21 A3 08"	"05 05 1E 0A 13"	"scene02"	"Eddie Ray (dying)"	"「ちくしょう、これまでか!」[pause]"	"Dammit! That's it for me!"
"017C92"	"0008"	"0270"	"A2 03 BA DE D2 DD 02 C1 AA B2 A4 03 CE DE B8 CA D3 B3 C0 DE D2 D0 C0 B2 A5 A5 A3 08"	"05 05 1E 0A 19"	"scene02"	"Nina Laurel (dying)"	"「ごめんチェイ、ぼくはもうだめみたい・・」[pause]"	"Sorry Chay, I guess this is it for me..."
"017C92"	"000A"	"0292"	"A2 03 D0 DD C5 A4 B1 C4 C9 BA C4 C0 C9 D1 B1 D9 A5 A5 A5 A3 08"	"05 05 1E 0A 1F"	"scene02"	"Chay Won (dying)"	"「みんな、あとのことたのむある・・・」[pause]"	"Guys, the rest is up to you..."
"017C92"	"000C"	"02AD"	"A2 03 D0 DD C5 A4 B6 C5 D7 BD DE B6 AF C3 A5 A5 A5 A3 08"	"05 05 1E 0A 25"	"scene02"	"Reiko Machida (dying)"	"「みんな、かならずかって・・・」[pause]"	"Win for me, guys..."
"017C92"	"000E"	"02C6"	"A2 03 DC A5 DC C0 BC B6 DE A4 BA BA C3 DE BC C7 DC B9 C6 CA A5 A5 A5 A3 08"	"05 05 1E 0A 2B"	"scene02"	"Kiel Royard (dying)"	"「わ・わたしが、ここでしぬわけには・・・」[pause]"	"I-I can't die here..."
"017C92"	"0010"	"02E5"	"A2 03 C5 DD C3 BA C4 BC DE AC A5 A5 A5 A3 08"	"05 05 1E 0A 31"	"scene02"	"Ben Basque (dying)"	"「なんてことじゃ・・・」[pause]"	"How could this happen...?"
"017C92"	"0012"	"02FA"	"A2 A3"	"05 05 1E 0A 49"	"scene02"	"Common troop (dying)"	"「」"	
"017C92"	"0014"	"0302"	"A2 A3 08"	"05 05 1E 0A 49"	"scene02"	"Common troop (dying)"	"「」[pause]"	
"017C92"	"0016"	"030B"	"A2 A3"	"05 05 1E 0A 4F"	"scene02"	"Commander (dying)"	"「」"	
"017C92"	"0018"	"0313"	"A2 A3"	"05 05 1E 0A 37"	"scene02"	"Commander"	"「」"	
"017C92"	"001A"	"031B"	"A2 A3"	"05 05 1E 0A 3D"	"scene02"	"Operator (dying)"	"「」"	
"017C92"	"001C"	"0323"	"A2 A3"	"05 05 1E 0A 43"	"scene02"	"Operator2 (dying)"	"「」"	
"017C92"	"001E"	"032B"	"A2 02 CB A8 B0 21 A3 09"	"05 05 1E 0A 55"	"scene02"	"Enemy troop (dying)"	"「ヒィー!」[pause09]"	"Hiiih!"
"017C92"	"0020"	"0339"	"A2 03 C5 C6 B5 B0 21 A3 09"	"05 05 1E 0A 5B"	"scene02"	"Enemy troop2 (dying)"	"「なにおー!」[pause09]"	"Whaaat!?"
"017C92"	"0022"	"0348"	"A2 02 BC DE C4 B0 D9 03 BB CF A4 B5 A5 B5 C0 BD B9 A5 A5 A5 A3 08"	"05 05 1E 0A 67"	"scene02"	"Flannel Mouse (dying)"	"「ジトールさま、お・おたすけ・・・」[pause]"	"Lord Dieter, please help--"
"017C92"	"0024"	"0364"	"0A 22 A2 03 DC BC B6 DE 02 BD D7 AF BC AD 03 C0 B2 C9 B6 DD C1 AE B3 C9 02 CD DE DD 03 BC DE AC 20 B5 CF B4 D7 D0 C0 B2 C5 A4 DC B6 BF DE B3 B6 DE C9 AF C4 C0 C9 B6 A4 20 BC DE C0 DE B2 D3 B6 DC AF C0 D3 C9 BC DE AC A1 A3 08"	"05 05 1E 0A 30"	"scene02"	"Ben Basque (normal)"	"[music: 22] 「わしがスラッシュたいのかんちょうのベンじゃ おまえらみたいな、わかぞうがのっとたのか、 じだいもかわったものじゃ。」[pause]"	"I'm Ben, the Captain of Slash.
_
Times have really changed if even you youngsters can be pilots."
"017C92"	"0026"	"03B5"	"A2 03 BA DA B6 D7 C4 DE B3 BD D9 C9 C3 DE BD B6 3F A3 08"	"05 05 1E 0A 00"	"scene02"	"Takuya Murasawa (normal)"	"「これからどうするのですか?」[pause]"	"What is our next move, Sir?"
"017C92"	"0028"	"03CE"	"A2 03 BF DA B6 DE BC DE AC A4 BA AF B7 AE B3 CC B7 DD C9 02 CD DE B8 C0 B0 01 01 20 03 BA B3 BC DE AE B3 B6 DE B5 BF DC DA C4 D9 D7 BC B2 C9 BC DE AC A1 A3 08"	"05 05 1E 0A 30"	"scene02"	"Ben Basque (normal)"	"「それがじゃ、こっきょうふきんのベクター

 こうじょうがおそわれとるらしいのじゃ。」[pause]"	"It seems that the VECTOR factory in the neighboring
_
region is under attack."
"017C92"	"002A"	"0409"	"A2 03 CF C0 B6 D6 A5 A5 A5 A3 08"	"05 05 1E 0A 09"	"scene02"	"Mack Ryan (worried)"	"「またかよ・・・」[pause]"	"Not this again..."
"017C92"	"002C"	"041A"	"A2 03 B5 DA C0 C1 D3 C2 B8 C2 DE B8 C2 B2 C3 C5 B2 C5 A1 A3 08"	"05 05 1E 0A 0C"	"scene02"	"Harry Gibson (normal)"	"「おれたちもつくづくついてないな。」[pause]"	"Luck isn't on our side lately, is it?"
"017C92"	"002E"	"0435"	"A2 03 BC B6 BC D0 B6 C0 A6 D3 B6 DD C0 DD C6 BA DB BD C4 CA 01 01 20 02 BC DE C4 B0 D9 A5 DC B2 CF B0 03 C4 CA B2 AF C0 B2 C5 C6 D3 C9 01 01 20 C5 C9 C0 DE DB B3 B6 A5 A5 3F A3 08"	"05 05 1E 0A 00"	"scene02"	"Takuya Murasawa (normal)"	"「しかしみかたをもかんたんにころすとは

 ジトール・ワイマーとはいったいなにもの

 なのだろうか・・?」[pause]"	"Dieter Weimar...
_
The kind of man who would kill his allies without a second thought...
_
Who is he, really...?"
"017C92"	"0030"	"0477"	"0A 19 A2 03 B6 DD C1 AE B3 A4 02 BD D7 AF BC AD 03 CC DE C0 B2 B6 DE C3 B7 C6 01 01 20 B6 BA CF DA C3 B2 CF BD 21 A3 08"	"05 05 1E 0A 48"	"scene02"	"Common troop (normal)"	"[music: 19] 「かんちょう、スラッシュぶたいがてきに

 かこまれています!」[pause]"	"Captain! Slash team is surrounded by enemies!"
"017C92"	"0032"	"04A5"	"A2 03 C5 DD C4 B6 CF C6 B1 AF C0 D6 B3 BC DE AC DC B2 A1 01 01 20 B5 CF B4 C0 C1 CA B4 DD BA DE C6 CF DC D9 C9 BC DE AC A1 A3 08"	"05 05 1E 0A 30"	"scene02"	"Ben Basque (normal)"	"「なんとかまにあったようじゃわい。

 おまえたちはえんごにまわるのじゃ。」[pause]"	"Looks like we made it just in time. You guys go and back them up."
"017C92"	"0034"	"04D6"	"A2 03 CA AF A4 BA DA D6 D8 02 BD D7 AF BC AD 03 CC DE C0 B2 A6 01 01 20 B4 DD BA DE BC CF BD A1 A3 08"	"05 05 1E 0A 48"	"scene02"	"Common troop (normal)"	"「はっ、これよりスラッシュぶたいを

 えんごします。」[pause]"	"Yes Sir. We're moving out."
