"tableName"	"insertOverride"	"ptrOffset"	"ptrBytes"	"ptrShift"	"strOffset"	"strBytes"	"strText"	"translation"
"items"	"0x02DD61;0x024010"	"0003FC8F"	"FCF4"	"00030010"	"0003FD04"	"47 54 25 41 21 47 51 56"	"まよけのおまもり"	"EvilRepl"
"items"	"0x02DD61;0x024010"	"0003FC91"	"FCFD"	"00030010"	"0003FD0D"	"120 125 210 92 77 80 215"	"リングシューズ"	"RingShoe"
"items"	"0x02DD61;0x024010"	"0003FC93"	"FD05"	"00030010"	"0003FD15"	"21 56 204 57"	"おりづる"	"FldCrane"
"items"	"0x02DD61;0x024010"	"0003FC95"	"FD0A"	"00030010"	"0003FD1A"	"28 14 19 22 18 198 14 19"	"しょうかいじょう"	"RefLettr"
"items"	"0x02DD61;0x024010"	"0003FC97"	"FD13"	"00030010"	"0003FD23"	"119 82 96 80"	"ライター"	"Lighter"
"items"	"0x02DD61;0x024010"	"0003FC99"	"FD18"	"00030010"	"0003FD28"	"29 18 30 61 198 14 19"	"すいせんじょう"	"RecLettr"
"items"	"0x02DD61;0x024010"	"0003FC9B"	"FD20"	"00030010"	"0003FD30"	"35 33 14 19"	"てちょう"	"Notebook"
"items"	"0x02DD61;0x024010"	"0003FC9D"	"FD20"	"00030010"	"0003FD30"	"35 33 14 19"	"てちょう"	"Memo pad"
"items"	"0x02DD61;0x024010"	"0003FC9F"	"FD25"	"00030010"	"0003FD35"	"26 206 51 41 27 24 226 61"	"こどものさくぶん"	"KidEssay"
"items"	"0x02DD61;0x024010"	"0003FCA1"	"FD2E"	"00030010"	"0003FD3E"	"111 82 88"	"マイク"	"Mic"
"items"	"0x02DD61;0x024010"	"0003FCA3"	"FD32"	"00030010"	"0003FD42"	"29 35 23 37 18 28 14 19"	"すてきないしょう"	"Dress"
"items"	"0x02DD61;0x024010"	"0003FCA5"	"FD3B"	"00030010"	"0003FD4B"	"25 18 27 34 35 33 14 19"	"けいさつてちょう"	"PoliceID"
"items"	"0x02DD61;0x024010"	"0003FCA7"	"FD44"	"00030010"	"0003FD54"	"228 19 202 61 97 78 79 87"	"ぼうだんチョッキ"	"BulProof"
"trainings"	"0x02DE41;0x024010"	"00035420"	"B428"	"0002A010"	"00035438"	"28 14 32 18 50 61 90 80 93"	"しょたいめんコース"	"Interview"
"trainings"	"0x02DE41;0x024010"	"00035422"	"B432"	"0002A010"	"00035442"	"32 18 60 90 80 93"	"たいわコース"	"Dialogue"
"trainings"	"0x02DE41;0x024010"	"00035424"	"B439"	"0002A010"	"00035449"	"59 61 198 13 34 90 80 93"	"ろんじゅつコース"	"Treatise"
"trainings"	"0x02DE41;0x024010"	"00035426"	"B442"	"0002A010"	"00035452"	"119 88 119 88 90 80 93"	"ラクラクコース"	"Beginner"
"trainings"	"0x02DE41;0x024010"	"00035428"	"B44A"	"0002A010"	"0003545A"	"106 80 222 90 80 93"	"ハードコース"	"Difficult"
"trainings"	"0x02DE41;0x024010"	"0003542A"	"B451"	"0002A010"	"00035461"	"33 14 19 106 80 222 90 80 93"	"ちょうハードコース"	"Advanced"
"trainings"	"0x02DE41;0x024010"	"0003542C"	"B45B"	"0002A010"	"0003546B"	"92 77 80 99 72 125 210 90 80 93"	"シューティングコース"	"Shooting"
"trainings"	"0x02DE41;0x024010"	"0003542E"	"B466"	"0002A010"	"00035476"	"81 88 92 78 125 90 80 93"	"アクションコース"	"Action"
"trainings"	"0x02DE41;0x024010"	"00035430"	"B46F"	"0002A010"	"0003547F"	"87 76 79 97 211 80 113 90 80 93"	"キャッチゲームコース"	"Claw Crane"
"trainings"	"0x02DE41;0x024010"	"00035432"	"B47A"	"0002A010"	"0003548A"	"111 125 208 90 80 93"	"マンガコース"	"Manga"
"trainings"	"0x02DE41;0x024010"	"00035434"	"B481"	"0002A010"	"00035491"	"226 61 192 24 90 80 93"	"ぶんがくコース"	"Literature"
"trainings"	"0x02DE41;0x024010"	"00035436"	"B489"	"0002A010"	"00035499"	"35 34 192 24 90 80 93"	"てつがくコース"	"Philosophy"
"gender"	"0x02DF0C;0x024010"	"0003D1CC"	"D1CC"	"00030010"	"0003D1DC"	"21 61 37"	"おんな"	"Woman"
"gender"	"0x02DF0C;0x024010"	"0003D1CE"	"D1D0"	"00030010"	"0003D1E0"	"21 36 26"	"おとこ"	"Man"
"gender"	"0x02DF0C;0x024010"	"0003D1D0"	"D1CC"	"00030010"	"0003D1DC"	"21 61 37"	"おんな"	"Woman"
"gender"	"0x02DF0C;0x024010"	"0003D1D2"	"D1CC"	"00030010"	"0003D1DC"	"21 61 37"	"おんな"	"Woman"
"gender"	"0x02DF0C;0x024010"	"0003D1D4"	"D1D0"	"00030010"	"0003D1E0"	"21 36 26"	"おとこ"	"Man"
"gender"	"0x02DF0C;0x024010"	"0003D1D6"	"D1D0"	"00030010"	"0003D1E0"	"21 36 26"	"おとこ"	"Man"
"gender"	"0x02DF0C;0x024010"	"0003D1D8"	"D1CC"	"00030010"	"0003D1DC"	"21 61 37"	"おんな"	"Woman"
"gender"	"0x02DF0C;0x024010"	"0003D1DA"	"D1D0"	"00030010"	"0003D1E0"	"21 36 26"	"おとこ"	"Man"
"cities"	"0x02DEB0;0x024010"	"00034D93"	"AD97"	"0002A010"	"00034DA7"	"36 19 23 14 19"	"とうきょう"	"Tokyo"
"cities"	"0x02DEB0;0x024010"	"00034D95"	"AD9D"	"0002A010"	"00034DAD"	"27 15 244 59"	"さっぽろ"	"Sapporo"
"cities"	"0x02DEB0;0x024010"	"00034D97"	"ADA2"	"0002A010"	"00034DB2"	"30 61 202 18"	"せんだい"	"Sendai"
"cities"	"0x02DEB0;0x024010"	"00034D99"	"ADA7"	"0002A010"	"00034DB7"	"37 196 52"	"なごや"	"Nagoya"
"cities"	"0x02DEB0;0x024010"	"00034D9B"	"ADAB"	"0002A010"	"00034DBB"	"21 21 27 22"	"おおさか"	"Osaka"
"cities"	"0x02DEB0;0x024010"	"00034D9D"	"ADB0"	"0002A010"	"00034DC0"	"43 59 28 47"	"ひろしま"	"Hiroshima"
"cities"	"0x02DEB0;0x024010"	"00034D9F"	"ADB5"	"0002A010"	"00034DC5"	"44 24 21 22"	"ふくおか"	"Fukuoka"
"cities"	"0x02DEB0;0x024010"	"00034DA1"	"ADBA"	"0002A010"	"00034DCA"	"81 114 120 86"	"アメリカ"	"America"
"cities"	"0x02DEB0;0x024010"	"00034DA3"	"ADBF"	"0002A010"	"00034DCF"	"82 209 120 93"	"イギリス"	"England"
"cities"	"0x02DEB0;0x024010"	"00034DA5"	"ADC4"	"0002A010"	"00034DD4"	"104 245 80 121"	"ネパール"	"Nepal"
