"evPtrOffset"	"evType"	"evOffset"	"evPartOffset"	"codeBytes"	"codeData"	"linesUsed"	"strText"	"translation"
"0030"	"code"	"05E2"	"05E4"	"D0 05"	"screenMode: high res, op: setPortrait = Girl_3"	""	""	""
"0030"	"code"	"05E2"	"05E6"	"A6 26"	"textControl, speed: 6, sfx: 38"	""	""	""
"0030"	"text"	"05E2"	"05E8"	""	""	"7 8 9 10"	"重力カタパルトソル星系行きです。
ご利用になりますか？"	""
"0030"	"code"	"05E2"	"05F0"	"E0 00"	"wait, mode: 0"	""	""	""
"0030"	"code"	"05E2"	"05F2"	"33 2F"	"skipNextOnBitCheck, bit 7 is clear on var 0x65"	""	""	""
"0030"	"code"	"05E2"	"05F4"	"60 02"	"skipCodes: 2 => 05FA"	""	""	""
"0030"	"text"	"05E2"	"05F6"	""	""	"11"	"
ご利用の際にまたおいでください。[1F]"	""
"0030"	"code"	"05E2"	"05F8"	"0F 00"	"exit"	""	""	""
"0030"	"text"	"05E2"	"05FA"	""	""	"12"	"
パスを拝見します。"	""
"0030"	"code"	"05E2"	"05FC"	"32 58"	"skipNextOnBitCheck, bit 0 is clear on var 0x4B"	""	""	""
"0030"	"code"	"05E2"	"05FE"	"60 03"	"skipCodes: 3 => 0606"	""	""	""
"0030"	"text"	"05E2"	"0600"	""	""	"13 14"	"
残念ながらパスをお持ちではありませんね。
パスのない方はお通し出来ません。[1F]"	""
"0030"	"code"	"05E2"	"0604"	"0F 00"	"exit"	""	""	""
"0030"	"text"	"05E2"	"0606"	""	""	"15 16 17"	"
通行料として＄２０００頂きます。[1F]"	""
"0030"	"code"	"05E2"	"060C"	"70 00"	"control7, cCode: 0, value: 0: check if money is greater than value x 100"	""	""	""
"0030"	"code"	"05E2"	"060E"	"70 14"	"control7, cCode: 0, value: 20: check if money is greater than value x 100"	""	""	""
"0030"	"code"	"05E2"	"0610"	"3B 2E"	"skipNextOnBitCheck, bit 6 is set on var 0x65"	""	""	""
"0030"	"code"	"05E2"	"0612"	"60 02"	"skipCodes: 2 => 0618"	""	""	""
"0030"	"text"	"05E2"	"0614"	""	""	"18"	"
お金が足りませんね。また来て下さい。[1F]"	""
"0030"	"code"	"05E2"	"0616"	"0F 00"	"exit"	""	""	""
"0030"	"code"	"05E2"	"0618"	"71 14"	"control7, cCode: 1, value: 20: Reduce money, value x 100"	""	""	""
"0030"	"text"	"05E2"	"061A"	""	""	"19"	"
結構です。お通り下さい。[1F]"	""
"0030"	"code"	"05E2"	"061C"	"78 40"	"control7, cCode: 8, value: 64: Setting some scene vars?"	""	""	""
"0034"	"code"	"061E"	"061E"	"D0 35"	"screenMode: high res, op: setBackground = Gravity Catapult"	""	""	""
"0034"	"code"	"061E"	"0620"	"D0 05"	"screenMode: high res, op: setPortrait = Girl_3"	""	""	""
"0034"	"code"	"061E"	"0622"	"A6 26"	"textControl, speed: 6, sfx: 38"	""	""	""
"0034"	"text"	"061E"	"0624"	""	""	"7 20 9 10"	"重力カタパルトリジルケント星系行きです。
ご利用になりますか？"	""
"0034"	"code"	"061E"	"062C"	"E0 00"	"wait, mode: 0"	""	""	""
"0034"	"code"	"061E"	"062E"	"33 2F"	"skipNextOnBitCheck, bit 7 is clear on var 0x65"	""	""	""
"0034"	"code"	"061E"	"0630"	"60 02"	"skipCodes: 2 => 0636"	""	""	""
"0034"	"text"	"061E"	"0632"	""	""	"11"	"
ご利用の際にまたおいでください。[1F]"	""
"0034"	"code"	"061E"	"0634"	"0F 00"	"exit"	""	""	""
"0034"	"text"	"061E"	"0636"	""	""	"12"	"
パスを拝見します。"	""
"0034"	"code"	"061E"	"0638"	"32 59"	"skipNextOnBitCheck, bit 1 is clear on var 0x4B"	""	""	""
"0034"	"code"	"061E"	"063A"	"60 03"	"skipCodes: 3 => 0642"	""	""	""
"0034"	"text"	"061E"	"063C"	""	""	"13 14"	"
残念ながらパスをお持ちではありませんね。
パスのない方はお通し出来ません。[1F]"	""
"0034"	"code"	"061E"	"0640"	"0F 00"	"exit"	""	""	""
"0034"	"text"	"061E"	"0642"	""	""	"15 16 17"	"
通行料として＄２０００頂きます。[1F]"	""
"0034"	"code"	"061E"	"0648"	"70 00"	"control7, cCode: 0, value: 0: check if money is greater than value x 100"	""	""	""
"0034"	"code"	"061E"	"064A"	"70 14"	"control7, cCode: 0, value: 20: check if money is greater than value x 100"	""	""	""
"0034"	"code"	"061E"	"064C"	"3B 2E"	"skipNextOnBitCheck, bit 6 is set on var 0x65"	""	""	""
"0034"	"code"	"061E"	"064E"	"60 02"	"skipCodes: 2 => 0654"	""	""	""
"0034"	"text"	"061E"	"0650"	""	""	"18"	"
お金が足りませんね。また来て下さい。[1F]"	""
"0034"	"code"	"061E"	"0652"	"0F 00"	"exit"	""	""	""
"0034"	"code"	"061E"	"0654"	"71 14"	"control7, cCode: 1, value: 20: Reduce money, value x 100"	""	""	""
"0034"	"text"	"061E"	"0656"	""	""	"19"	"
結構です。お通り下さい。[1F]"	""
"0034"	"code"	"061E"	"0658"	"78 41"	"control7, cCode: 8, value: 65: Setting some scene vars?"	""	""	""
"0038"	"code"	"065A"	"065A"	"D0 35"	"screenMode: high res, op: setBackground = Gravity Catapult"	""	""	""
"0038"	"code"	"065A"	"065C"	"D0 05"	"screenMode: high res, op: setPortrait = Girl_3"	""	""	""
"0038"	"code"	"065A"	"065E"	"A6 26"	"textControl, speed: 6, sfx: 38"	""	""	""
"0038"	"text"	"065A"	"0660"	""	""	"7 21 9 10"	"重力カタパルトシリウス星系行きです。
ご利用になりますか？"	""
"0038"	"code"	"065A"	"0668"	"E0 00"	"wait, mode: 0"	""	""	""
"0038"	"code"	"065A"	"066A"	"33 2F"	"skipNextOnBitCheck, bit 7 is clear on var 0x65"	""	""	""
"0038"	"code"	"065A"	"066C"	"60 02"	"skipCodes: 2 => 0672"	""	""	""
"0038"	"text"	"065A"	"066E"	""	""	"11"	"
ご利用の際にまたおいでください。[1F]"	""
"0038"	"code"	"065A"	"0670"	"0F 00"	"exit"	""	""	""
"0038"	"text"	"065A"	"0672"	""	""	"12"	"
パスを拝見します。"	""
"0038"	"code"	"065A"	"0674"	"32 5A"	"skipNextOnBitCheck, bit 2 is clear on var 0x4B"	""	""	""
"0038"	"code"	"065A"	"0676"	"60 03"	"skipCodes: 3 => 067E"	""	""	""
"0038"	"text"	"065A"	"0678"	""	""	"13 14"	"
残念ながらパスをお持ちではありませんね。
パスのない方はお通し出来ません。[1F]"	""
"0038"	"code"	"065A"	"067C"	"0F 00"	"exit"	""	""	""
"0038"	"text"	"065A"	"067E"	""	""	"15 16 17"	"
通行料として＄２０００頂きます。[1F]"	""
"0038"	"code"	"065A"	"0684"	"70 00"	"control7, cCode: 0, value: 0: check if money is greater than value x 100"	""	""	""
"0038"	"code"	"065A"	"0686"	"70 14"	"control7, cCode: 0, value: 20: check if money is greater than value x 100"	""	""	""
"0038"	"code"	"065A"	"0688"	"3B 2E"	"skipNextOnBitCheck, bit 6 is set on var 0x65"	""	""	""
"0038"	"code"	"065A"	"068A"	"60 02"	"skipCodes: 2 => 0690"	""	""	""
"0038"	"text"	"065A"	"068C"	""	""	"18"	"
お金が足りませんね。また来て下さい。[1F]"	""
"0038"	"code"	"065A"	"068E"	"0F 00"	"exit"	""	""	""
"0038"	"code"	"065A"	"0690"	"71 14"	"control7, cCode: 1, value: 20: Reduce money, value x 100"	""	""	""
"0038"	"text"	"065A"	"0692"	""	""	"19"	"
結構です。お通り下さい。[1F]"	""
"0038"	"code"	"065A"	"0694"	"78 42"	"control7, cCode: 8, value: 66: Setting some scene vars?"	""	""	""
"003C"	"code"	"0696"	"0696"	"D0 35"	"screenMode: high res, op: setBackground = Gravity Catapult"	""	""	""
"003C"	"code"	"0696"	"0698"	"D0 05"	"screenMode: high res, op: setPortrait = Girl_3"	""	""	""
"003C"	"code"	"0696"	"069A"	"A6 26"	"textControl, speed: 6, sfx: 38"	""	""	""
"003C"	"text"	"0696"	"069C"	""	""	"7 22 9 10"	"重力カタパルトバーナード星系行きです。
ご利用になりますか？"	""
"003C"	"code"	"0696"	"06A4"	"E0 00"	"wait, mode: 0"	""	""	""
"003C"	"code"	"0696"	"06A6"	"33 2F"	"skipNextOnBitCheck, bit 7 is clear on var 0x65"	""	""	""
"003C"	"code"	"0696"	"06A8"	"60 02"	"skipCodes: 2 => 06AE"	""	""	""
"003C"	"text"	"0696"	"06AA"	""	""	"11"	"
ご利用の際にまたおいでください。[1F]"	""
"003C"	"code"	"0696"	"06AC"	"0F 00"	"exit"	""	""	""
"003C"	"text"	"0696"	"06AE"	""	""	"12"	"
パスを拝見します。"	""
"003C"	"code"	"0696"	"06B0"	"32 5D"	"skipNextOnBitCheck, bit 5 is clear on var 0x4B"	""	""	""
"003C"	"code"	"0696"	"06B2"	"60 03"	"skipCodes: 3 => 06BA"	""	""	""
"003C"	"text"	"0696"	"06B4"	""	""	"13 14"	"
残念ながらパスをお持ちではありませんね。
パスのない方はお通し出来ません。[1F]"	""
"003C"	"code"	"0696"	"06B8"	"0F 00"	"exit"	""	""	""
"003C"	"text"	"0696"	"06BA"	""	""	"15 16 17"	"
通行料として＄２０００頂きます。[1F]"	""
"003C"	"code"	"0696"	"06C0"	"70 00"	"control7, cCode: 0, value: 0: check if money is greater than value x 100"	""	""	""
"003C"	"code"	"0696"	"06C2"	"70 14"	"control7, cCode: 0, value: 20: check if money is greater than value x 100"	""	""	""
"003C"	"code"	"0696"	"06C4"	"3B 2E"	"skipNextOnBitCheck, bit 6 is set on var 0x65"	""	""	""
"003C"	"code"	"0696"	"06C6"	"60 02"	"skipCodes: 2 => 06CC"	""	""	""
"003C"	"text"	"0696"	"06C8"	""	""	"18"	"
お金が足りませんね。また来て下さい。[1F]"	""
"003C"	"code"	"0696"	"06CA"	"0F 00"	"exit"	""	""	""
"003C"	"code"	"0696"	"06CC"	"71 14"	"control7, cCode: 1, value: 20: Reduce money, value x 100"	""	""	""
"003C"	"text"	"0696"	"06CE"	""	""	"19"	"
結構です。お通り下さい。[1F]"	""
"003C"	"code"	"0696"	"06D0"	"78 43"	"control7, cCode: 8, value: 67: Setting some scene vars?"	""	""	""
"0040"	"null"	"06D2"	""	""	""	""	""	""
"0044"	"null"	"06D2"	""	""	""	""	""	""
"0048"	"null"	"06D2"	""	""	""	""	""	""
"004C"	"null"	"06D2"	""	""	""	""	""	""
"0050"	"null"	"06D2"	""	""	""	""	""	""
"0054"	"null"	"06D2"	""	""	""	""	""	""
"0058"	"null"	"06D2"	""	""	""	""	""	""
"005C"	"null"	"06D2"	""	""	""	""	""	""
"0060"	"null"	"06D2"	""	""	""	""	""	""
"0064"	"null"	"06D2"	""	""	""	""	""	""
"0068"	"code"	"06D2"	"06D2"	"F0 08"	"setBGM: 8"	""	""	""
"0068"	"code"	"06D2"	"06D4"	"D0 63"	"screenMode: low res"	""	""	""
"0068"	"code"	"06D2"	"06D6"	"D0 00"	"screenMode: high res, op: setPortrait = Daniel Gibson"	""	""	""
"0068"	"code"	"06D2"	"06D8"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0068"	"text"	"06D2"	"06DA"	""	""	"23 24 25"	"撃つな！　俺だ。ギブスンだ。
助けに来てやったぜ。[1F]"	""
"0068"	"code"	"06D2"	"06E0"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0068"	"code"	"06D2"	"06E2"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0068"	"text"	"06D2"	"06E4"	""	""	"26 27"	"余計なお世話だ。が、一応礼を言う。[1F]"	""
"0068"	"code"	"06D2"	"06E8"	"D0 00"	"screenMode: high res, op: setPortrait = Daniel Gibson"	""	""	""
"0068"	"code"	"06D2"	"06EA"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0068"	"text"	"06D2"	"06EC"	""	""	"28"	"しけたツラして、どうした。[1F]"	""
"0068"	"code"	"06D2"	"06EE"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0068"	"code"	"06D2"	"06F0"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0068"	"text"	"06D2"	"06F2"	""	""	"29 30 31"	"スターシップをやられた。[1F]
＄４００００００がオジャンだ。[1F]"	""
"0068"	"code"	"06D2"	"06F8"	"D0 00"	"screenMode: high res, op: setPortrait = Daniel Gibson"	""	""	""
"0068"	"code"	"06D2"	"06FA"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0068"	"text"	"06D2"	"06FC"	""	""	"32 29 33"	"そう気を落とすな。この基地内に新型スターシップが置いてあるらしい。[1F]"	""
"0068"	"code"	"06D2"	"0702"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0068"	"code"	"06D2"	"0704"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0068"	"text"	"06D2"	"0706"	""	""	"34"	"それを頂くとするか。[1F]"	""
"0068"	"code"	"06D2"	"0708"	"D0 00"	"screenMode: high res, op: setPortrait = Daniel Gibson"	""	""	""
"0068"	"code"	"06D2"	"070A"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0068"	"text"	"06D2"	"070C"	""	""	"35 36"	"決まりだ。
モノはどこかのゲートの奥にあるはずだ。
ゲート開放装置をさがせ。[1F]　"	""
"0068"	"code"	"06D2"	"0710"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0068"	"code"	"06D2"	"0712"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0068"	"text"	"06D2"	"0714"	""	""	"37"	"よし、分かった。　[1F]"	""
"0068"	"code"	"06D2"	"0716"	"D0 00"	"screenMode: high res, op: setPortrait = Daniel Gibson"	""	""	""
"0068"	"code"	"06D2"	"0718"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0068"	"text"	"06D2"	"071A"	""	""	"38"	"急げ！
いただける物はいただいて、あとはさっさとズラかるぞ。[1F]"	""
"0068"	"code"	"06D2"	"071C"	"8A 30"	"bitOps, set bit 0 on var 0x46"	""	""	""
"0068"	"code"	"06D2"	"071E"	"8B 31"	"bitOps, set bit 1 on var 0x66"	""	""	""
"0068"	"code"	"06D2"	"0720"	"8B 80"	"bitOps, set bit 0 on var 0x70"	""	""	""
"0068"	"code"	"06D2"	"0722"	"8C 4D"	"bitOps, set bit 5 on var 0x89"	""	""	""
"0068"	"code"	"06D2"	"0724"	"8B 83"	"bitOps, set bit 3 on var 0x70"	""	""	""
"0068"	"code"	"06D2"	"0726"	"8B 84"	"bitOps, set bit 4 on var 0x70"	""	""	""
"006C"	"code"	"0728"	"0728"	"F0 08"	"setBGM: 8"	""	""	""
"006C"	"code"	"0728"	"072A"	"D0 63"	"screenMode: low res"	""	""	""
"006C"	"code"	"0728"	"072C"	"D0 00"	"screenMode: high res, op: setPortrait = Daniel Gibson"	""	""	""
"006C"	"code"	"0728"	"072E"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"006C"	"text"	"0728"	"0730"	""	""	"39 29 40 41"	"この先は俺にまかせておけ。
お前はスターシップを奪って早く脱出しろ。[1F]
あちこちに爆弾を仕掛けるから
逃げ遅れるなよ。[1F]"	""
"0070"	"code"	"0738"	"0738"	"D0 63"	"screenMode: low res"	""	""	""
"0070"	"code"	"0738"	"073A"	"A6 21"	"textControl, speed: 6, sfx: 33"	""	""	""
"0070"	"text"	"0738"	"073C"	""	""	"2 42 24 43 44 45"	"Ｃｏｍ：ダニエル・ギブスン様から通信が入っています。[1F]
スクリーンに表示します。[1F]"	""
"0070"	"code"	"0738"	"0748"	"F0 08"	"setBGM: 8"	""	""	""
"0070"	"code"	"0738"	"074A"	"D0 00"	"screenMode: high res, op: setPortrait = Daniel Gibson"	""	""	""
"0070"	"code"	"0738"	"074C"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0070"	"text"	"0738"	"074E"	""	""	"46 47 48 29 49"	"ブライアン、無事なようだな。[1F]
どうだ、新型スターシップの乗り心地は？[1F]"	""
"0070"	"code"	"0738"	"0758"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0070"	"code"	"0738"	"075A"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0070"	"text"	"0738"	"075C"	""	""	"50 51 52 53 54"	"悪くない。[1F]
どうやらスタークルーザーってのが正式な呼び方らしい。
全体の造りはいいが装備はイマイチだ。[1F]"	""
"0070"	"code"	"0738"	"0766"	"D0 00"	"screenMode: high res, op: setPortrait = Daniel Gibson"	""	""	""
"0070"	"code"	"0738"	"0768"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0070"	"text"	"0738"	"076A"	""	""	"55 56 57 58 59 60"	"それなら木星の衛星ガニメデへ行って改造するといい。
そうすれば充分使いものになるだろう。[1F]"	""
"0074"	"code"	"0776"	"0776"	"F0 0A"	"setBGM: 10"	""	""	""
"0074"	"code"	"0776"	"0778"	"D0 34"	"screenMode: high res, op: setBackground = Bar"	""	""	""
"0074"	"code"	"0776"	"077A"	"D0 09"	"screenMode: high res, op: setPortrait = Ed Huey"	""	""	""
"0074"	"code"	"0776"	"077C"	"A7 23"	"textControl, speed: 7, sfx: 35"	""	""	""
"0074"	"text"	"0776"	"077E"	""	""	"61 62"	"バー「大赤斑」へようこそ。[1F]"	""
"0074"	"code"	"0776"	"0782"	"30 00"	"skipNextOnBitCheck, bit 0 is clear on var 0x00"	""	""	""
"0074"	"code"	"0776"	"0784"	"60 17"	"skipCodes: 23 => 07B4"	""	""	""
"0074"	"code"	"0776"	"0786"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0074"	"code"	"0776"	"0788"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0074"	"text"	"0776"	"078A"	""	""	"29 63 64"	"スターシップを改造したいんだが・・・。[1F]"	""
"0074"	"code"	"0776"	"0790"	"D0 09"	"screenMode: high res, op: setPortrait = Ed Huey"	""	""	""
"0074"	"code"	"0776"	"0792"	"A7 23"	"textControl, speed: 7, sfx: 35"	""	""	""
"0074"	"text"	"0776"	"0794"	""	""	"29 65 66 67"	"スターシップをいじるのはマイストという職業の人達です。[1F]"	""
"0074"	"code"	"0776"	"079C"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0074"	"code"	"0776"	"079E"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0074"	"text"	"0776"	"07A0"	""	""	"68 69 66 70"	"子供じゃあるまいし、それ位は知っている。[1F]
マイストの住んでる所を教えてくれ。[1F]"	""
"0074"	"code"	"0776"	"07A8"	"D0 09"	"screenMode: high res, op: setPortrait = Ed Huey"	""	""	""
"0074"	"code"	"0776"	"07AA"	"A7 23"	"textControl, speed: 7, sfx: 35"	""	""	""
"0074"	"text"	"0776"	"07AC"	""	""	"66 71 72"	"マイストだったら林の向こうのスラムに、
住んでいますよ。
けどあそこはヤクザ者が多いから、
気を付けた方がいいですよ。[1F]"	""
"0074"	"code"	"0776"	"07B2"	"0F 00"	"exit"	""	""	""
"0074"	"code"	"0776"	"07B4"	"30 17"	"skipNextOnBitCheck, bit 7 is clear on var 0x02"	""	""	""
"0074"	"code"	"0776"	"07B6"	"60 0E"	"skipCodes: 14 => 07D4"	""	""	""
"0074"	"code"	"0776"	"07B8"	"D0 09"	"screenMode: high res, op: setPortrait = Ed Huey"	""	""	""
"0074"	"code"	"0776"	"07BA"	"A7 23"	"textControl, speed: 7, sfx: 35"	""	""	""
"0074"	"text"	"0776"	"07BC"	""	""	"29 73"	"スターシップを改造されたんですね。[1F]"	""
"0074"	"code"	"0776"	"07C0"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0074"	"code"	"0776"	"07C2"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0074"	"text"	"0776"	"07C4"	""	""	"74"	"あぁ、まあな。[1F]"	""
"0074"	"code"	"0776"	"07C6"	"D0 09"	"screenMode: high res, op: setPortrait = Ed Huey"	""	""	""
"0074"	"code"	"0776"	"07C8"	"A7 23"	"textControl, speed: 7, sfx: 35"	""	""	""
"0074"	"text"	"0776"	"07CA"	""	""	"75 69 76 77"	"あまり歓迎できる話じゃないですね。[1F]
太陽風なんて組織も力をつけてきたらしいですし・・・。[1F]"	""
"0074"	"code"	"0776"	"07D2"	"0F 00"	"exit"	""	""	""
"0074"	"code"	"0776"	"07D4"	"D0 09"	"screenMode: high res, op: setPortrait = Ed Huey"	""	""	""
"0074"	"code"	"0776"	"07D6"	"A7 23"	"textControl, speed: 7, sfx: 35"	""	""	""
"0074"	"text"	"0776"	"07D8"	""	""	"78 79"	"このところ大きな事件は無いですね。
ゴロツキどもは相変わらずのさばってますが・・・。[1F]"	""
"0078"	"code"	"07DC"	"07DC"	"D0 32"	"screenMode: high res, op: setBackground = Spaceship Workshop"	""	""	""
"0078"	"code"	"07DC"	"07DE"	"D0 0E"	"screenMode: high res, op: setPortrait = UpgradeShop"	""	""	""
"0078"	"code"	"07DC"	"07E0"	"38 00"	"skipNextOnBitCheck, bit 0 is set on var 0x00"	""	""	""
"0078"	"code"	"07DC"	"07E2"	"20 4C"	"sceneChange: 76 => 0134"	""	""	""
"0078"	"code"	"07DC"	"07E4"	"38 06"	"skipNextOnBitCheck, bit 6 is set on var 0x00"	""	""	""
"0078"	"code"	"07DC"	"07E6"	"20 4D"	"sceneChange: 77 => 0138"	""	""	""
"0078"	"code"	"07DC"	"07E8"	"30 0B"	"skipNextOnBitCheck, bit 3 is clear on var 0x01"	""	""	""
"0078"	"code"	"07DC"	"07EA"	"60 07"	"skipCodes: 7 => 07FA"	""	""	""
"0078"	"code"	"07DC"	"07EC"	"D0 0E"	"screenMode: high res, op: setPortrait = UpgradeShop"	""	""	""
"0078"	"code"	"07DC"	"07EE"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0078"	"text"	"07DC"	"07F0"	""	""	"66 80 81 82"	"マイスト・ヒダリに改造して貰った！？
それはスゴイ！大事にしないとバチが当たりますよ。[1F]"	""
"0078"	"code"	"07DC"	"07F8"	"0F 00"	"exit"	""	""	""
"0078"	"code"	"07DC"	"07FA"	"D0 0E"	"screenMode: high res, op: setPortrait = UpgradeShop"	""	""	""
"0078"	"code"	"07DC"	"07FC"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0078"	"text"	"07DC"	"07FE"	""	""	"83 84 52 85"	"あぁ、あなたでしたか。[1F]
その後、スタークルーザーの調子は
どうですか？[1F]"	""
"007C"	"code"	"0806"	"0806"	"F0 14"	"setBGM: 20"	""	""	""
"007C"	"code"	"0806"	"0808"	"D0 63"	"screenMode: low res"	""	""	""
"007C"	"code"	"0806"	"080A"	"D0 04"	"screenMode: high res, op: setPortrait = Girl_2"	""	""	""
"007C"	"code"	"0806"	"080C"	"A8 25"	"textControl, speed: 8, sfx: 37"	""	""	""
"007C"	"text"	"0806"	"080E"	""	""	"86"	"ここから先はスラム街です。
危ないから行かない方がいいですよ。[1F]"	""
"0080"	"code"	"0810"	"0810"	"F0 0A"	"setBGM: 10"	""	""	""
"0080"	"code"	"0810"	"0812"	"D0 34"	"screenMode: high res, op: setBackground = Bar"	""	""	""
"0080"	"code"	"0810"	"0814"	"D0 09"	"screenMode: high res, op: setPortrait = Ed Huey"	""	""	""
"0080"	"code"	"0810"	"0816"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0080"	"text"	"0810"	"0818"	""	""	"87 88"	"バー「小惑星」です。[1F]
何に致しましょう？[1F]"	""
"0080"	"code"	"0810"	"081C"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0080"	"code"	"0810"	"081E"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0080"	"text"	"0810"	"0820"	""	""	"66 89"	"マイストを探しているんだ。[1F]"	""
"0080"	"code"	"0810"	"0824"	"D0 09"	"screenMode: high res, op: setPortrait = Ed Huey"	""	""	""
"0080"	"code"	"0810"	"0826"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0080"	"text"	"0810"	"0828"	""	""	"66 90 91 29 92"	"マイスト？[1F]
あぁ、スターシップの改造なんかをやってくれる・・・。[1F]"	""
"0080"	"code"	"0810"	"0832"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0080"	"code"	"0810"	"0834"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0080"	"text"	"0810"	"0836"	""	""	"93"	"そうだ。[1F]"	""
"0080"	"code"	"0810"	"0838"	"D0 09"	"screenMode: high res, op: setPortrait = Ed Huey"	""	""	""
"0080"	"code"	"0810"	"083A"	"A6 23"	"textControl, speed: 6, sfx: 35"	""	""	""
"0080"	"text"	"0810"	"083C"	""	""	"66 94"	"マイストねぇ。
そういう人は見た事ありませんけど・・・。[1F]"	""
"0080"	"code"	"0810"	"0840"	"D0 01"	"screenMode: high res, op: setPortrait = Brian Wright"	""	""	""
"0080"	"code"	"0810"	"0842"	"A6 22"	"textControl, speed: 6, sfx: 34"	""	""	""
"0080"	"text"	"0810"	"0844"	""	""	"95"	"そうか。邪魔したな。[1F]"	""
"0084"	"code"	"0846"	"0846"	"D0 36"	"screenMode: high res, op: setBackground = Room"	""	""	""
"0084"	"code"	"0846"	"0848"	"30 00"	"skipNextOnBitCheck, bit 0 is clear on var 0x00"	""	""	""
"0084"	"code"	"0846"	"084A"	"60 04"	"skipCodes: 4 => 0854"	""	""	""
