"ptrOffset"	"ptrBytes"	"strOffset"	"type"	"name"	"name_translation"	"strText"	"translation"
"0000E967"	"52A8"	"0000F4A8"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"びょういんは　ぶじでしょうか？"	""
"0000E96B"	"52B8"	"0000F4B8"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"そんなはなしを　きいたことがあります。"	""
"0000E96F"	"52CC"	"0000F4CC"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"まちのひがしの　やまごやに　このとちに
くわしい　オマド―ンがいるの　あってき
て！"	""
"0000E973"	"52F7"	"0000F4F7"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"インディアンの　オマド―ンに　あったよ
うね。　このまちには　ふしぎな　でんし
ょうが　たくさん　のこっているの。"	""
"0000E977"	"5331"	"0000F531"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"もういちど　オマド―ンに　あったほうが
いいわ。　それに　サンドラのほうは　だ
いじょうぶかしら。"	""
"0000E97B"	"5363"	"0000F563"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"ここは　へいきさ。　それより　さっきち
かから　ものおとが　したぜ。"	""
"0000E97F"	"5386"	"0000F586"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"ネコのこいっぴき　とおしゃしねえぜ。"	""
"0000E983"	"5399"	"0000F599"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"ピ―タ―さんも　ぶじでしたの？　びょ
ういんのふたりは　ぶじかしら？"	""
"0000E987"	"53BC"	"0000F5BC"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"ほようじょ　けんせつのため　ウィヌスキ
―がわぞいの　としょかんを　こわしたや
さきですわ　こんなことになったのわ。"	""
"0000E98B"	"53F7"	"0000F5F7"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"がんばってね。"	""
"0000E98F"	"53FF"	"0000F5FF"	"dialogue"	"　　　　　　　
サンドラ　　　
"	""	"わたしは　サンドラ。　いったい　ドクタ
―は　いまどこに？"	""
"0000E993"	"541D"	"0000F61D"	"dialogue"	"　　　　　　　
サンドラ　　　
"	""	"わたしにけんじゅうを　かしてください。
ここで　フランクリンさんと　いっしょに
パトリックさんを　まもっていますわ。"	""
"0000E997"	"5458"	"0000F658"	"dialogue"	"　　　　　　　
パトリック　　
"	""	"そのせいねんは　こんすいじょうたいのま
まである。"	""
"0000E99B"	"5472"	"0000F672"	"dialogue"	"　　　　　　　
ウェルズ　　　
"	""	"はやく　なんとかしろ！"	""
"0000E99F"	"547E"	"0000F67E"	"dialogue"	"　　　　　　　
ウェルズ　　　
"	""	"ほようじょは　まちの　はってんのため
だ。　このじけんとは　かんけいない！"	""
"0000E9A3"	"54A4"	"0000F6A4"	"dialogue"	"　　　　　　　
ロジャ―　　　
"	""	"そこに　わかいおとこの　したいが　あっ
た。"	""
"0000E9A7"	"54BB"	"0000F6BB"	"dialogue"	"　　　　　　　
ゴ―ドン　　　
"	""	"ここいらのゾンビは　さっきまで　おれの
ぶかだった　やつらでな。　あいつらを　
このままには　しておけねえんだよ！"	""
"0000E9AB"	"54F5"	"0000F6F5"	"dialogue"	"　　　　　　　
ホイットマン　
"	""	"あのいせきは　なぜたてられたのだろう？
としょかんの　はっくつひんと　かんけい
が　あるのだろうか・・・？"	""
"0000E9AF"	"552B"	"0000F72B"	"dialogue"	"　　　　　　　
ホイットマン　
"	""	"としょかんあとからの　はっくつひんは　
ずいぶん　めずらしいものが　おおかった
よ。"	""
"0000E9B3"	"5556"	"0000F756"	"dialogue"	"　　　　　　　
ピ―タ―　　　
"	""	"あんたも　さっさと　でていったほうが　
みのためだぜ。"	""
"0000E9B7"	"5572"	"0000F772"	"dialogue"	"　　　　　　　
オマド―ン　　
"	""	"わしのはなしを　ききたいかね？　このま
ちが　まものに　おそわれたのは　これで
２どめ　なのじゃよ。"	""
"0000E9BB"	"55A5"	"0000F7A5"	"dialogue"	"　　　　　　　
オマド―ン　　
"	""	"このあたりが　メルティアと　よばれてい
たころ　よみのくにから　まものどもが　
あふれ　でてきたのじゃ。"	""
"0000E9BF"	"55DA"	"0000F7DA"	"dialogue"	"　　　　　　　
オマド―ン　　
"	""	"すべてが　やきつくされようとしたとき　
ひとりの　ゆうしゃがあらわれ　６つのひ
かりで　まものをはらったのじゃ。"	""
"0000E9C3"	"5613"	"0000F813"	"dialogue"	"　　　　　　　
オマド―ン　　
"	""	"その　すべてのことを　かたりついだのが
こだいインディアン。　つまり　わしらの
そせんたち　なのじゃ。"	""
"0000E9C7"	"5647"	"0000F847"	"dialogue"	"　　　　　　　
ドクタ―・バス
"	""	"あの　ばけものどもを　かいぼうして　こ
の　かいげんしょうの　てがかりを　えよ
うと　おもったんだが・・・やつらは　ま
ともじゃない・・・あんな　すがたで　い
きていられるとは・・・ゴホッ
・・・このカギで　２かいの　ふたりを
・・・ゴフッ"	""
"0000E9CB"	"56C0"	"0000F8C0"	"dialogue"	"　　　　　　　
ドクタ―・バス
"	""	"なふだに　ドクタ―・バスとある。
・・・かれはしんだ。"	""
"0000E9CF"	"56DC"	"0000F8DC"	"dialogue"	"　　　　　　　
フラン　　　　
"	""	"わたしは　フラン。　スティ―ブンが　か
えってこないの。　むこうの　はこから　
へんなおとが！"	""
"0000E9D3"	"570C"	"0000F90C"	"dialogue"	"　　　　　　　
フラン　　　　
"	""	"わたしはここで　スティ―ブンをまつわ。"	""
"0000E9D7"	"5720"	"0000F920"	"dialogue"	""	""	"したから　かぜがくる。"	""
"0000E9DB"	"572C"	"0000F92C"	"dialogue"	""	""	"したに　つづくかいだんが　あった。"	""
"0000E9DF"	"573E"	"0000F93E"	"dialogue"	""	""	"はかいされた　たてものの　あとだ。　か
いだんも　のぼれそうに　ない。"	""
"0000E9E3"	"5762"	"0000F962"	"dialogue"	""	""	"としょかんあとの　ようだ。　けど　やっ
ぱりなにもない。"	""
"0000E9E7"	"577F"	"0000F97F"	"dialogue"	""	""	"ＭＡＸ―ＭＦちが　８０になった！"	""
"0000E9EB"	"5790"	"0000F990"	"dialogue"	""	""	"パスワ―ドを　みますか？
　みる(ＰＡＳＳＷＯＲＤ)
　みない(ＣＯＮＴＩＮＵＥ)"	""
"0000E9EF"	"57BA"	"0000F9BA"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"カギを　もってるんなら　さっさとはいん
な！"	""
"0000E9F3"	"57D1"	"0000F9D1"	"dialogue"	"　　　　　　　
ドクタ―・バス
"	""	"わたしが　バスだが・・・"	""
"0000E9F7"	"57DE"	"0000F9DE"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"ごぶじでしたか。"	""
"0000E9FB"	"57E7"	"0000F9E7"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"はかもりのロジャ―は　ぶじでしょうか？"	""
"0000E9FF"	"57FB"	"0000F9FB"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"あの　ロジャ―が・・・"	""
"0000EA03"	"5807"	"0000FA07"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"オマド―ンさんが　そんなはなしを・・・"	""
"0000EA07"	"581B"	"0000FA1B"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"としょかんあとのと　おなじものだわ。　
あなた　それをどこで？　すででは　さわ
れないはずなのに・・・"	""
"0000EA0B"	"584F"	"0000FA4F"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"メダリオンが　なかった　ですって？"	""
"0000EA0F"	"5861"	"0000FA61"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"ここは　まかせろ！　ゴ―ドンは　どうだ
った？"	""
"0000EA13"	"5879"	"0000FA79"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"ゴ―ドンが　しんだっ！　まさか・・・"	""
"0000EA17"	"588C"	"0000FA8C"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"ブラウニングは　かいはつには　はんたい
でした。　やかたは　スト―ンがわ　と　
オゥルがわの　あいだに　あります。"	""
"0000EA1B"	"58C6"	"0000FAC6"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"ロジャ―と　ピ―タ―は　おなじたいに　
いたらしいですよ・・・"	""
"0000EA1F"	"58E6"	"0000FAE6"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"おうちに　かえりたい。"	""
"0000EA23"	"58F2"	"0000FAF2"	"dialogue"	"　　　　　　　
サンドラ　　　
"	""	"だいじょうぶ　もちこたえられますわ。"	""
"0000EA27"	"5905"	"0000FB05"	"dialogue"	"　　　　　　　
サンドラ　　　
"	""	"パトリックさんは　ずっと　うなされてい
るんです。"	""
"0000EA2B"	"591F"	"0000FB1F"	"dialogue"	"　　　　　　　
パトリック　　
"	""	"いしきがない。"	""
"0000EA2F"	"5927"	"0000FB27"	"dialogue"	"　　　　　　　
パトリック　　
"	""	"ゆめに　うなされて　いるようだ。"	""
"0000EA33"	"5938"	"0000FB38"	"dialogue"	"　　　　　　　
ウェルズ　　　
"	""	"わしは　いつ　たすかるのかね？"	""
"0000EA37"	"5948"	"0000FB48"	"dialogue"	"　　　　　　　
ウェルズ　　　
"	""	"ブラウニングの　かいはつはんたいの　お
かげで　こうじが　５ねんも　おくれてし
まったわい。"	""
"0000EA3B"	"5977"	"0000FB77"	"dialogue"	"　　　　　　　
ロジャ―　　　
"	""	"そこにわかいおとこの　したいがあった。"	""
"0000EA3F"	"598B"	"0000FB8B"	"dialogue"	"　　　　　　　
ロジャ―　　　
"	""	"このしたいは　ロジャ―だ。　みると　し
たいのしたに　ちかへのかいだんが　つづ
いていた。"	""
"0000EA43"	"59B9"	"0000FBB9"	"dialogue"	"　　　　　　　
ゴ―ドン　　　
"	""	"ゴ―ドンは　やけしんでいた。　したいの
そばに　ふるいもんようの　きざまれた　
メダリオンが　おちていた。"	""
"0000EA47"	"59EF"	"0000FBEF"	"dialogue"	"　　　　　　　
ゴ―ドン　　　
"	""	"ゴ―ドンの　したいが　ある。"	""
"0000EA4B"	"59FE"	"0000FBFE"	"dialogue"	"　　　　　　　
ホイットマン　
"	""	"わたしたちを　たすけて　ください。"	""
"0000EA4F"	"5A10"	"0000FC10"	"dialogue"	"　　　　　　　
ホイットマン　
"	""	"としょかんあとで　はっけんされた　メダ
リオンとは　いろが　ちがうね。　あれは
けんきゅうしつに　あるはずだ。"	""
"0000EA53"	"5A48"	"0000FC48"	"dialogue"	"　　　　　　　
ホイットマン　
"	""	"けんきゅうしつに　メダリオンがない？"	""
"0000EA57"	"5A5B"	"0000FC5B"	"dialogue"	"　　　　　　　
ピ―タ―　　　
"	""	"かんばれよ！"	""
"0000EA5B"	"5A62"	"0000FC62"	"dialogue"	"　　　　　　　
ピ―タ―　　　
"	""	"ロジャ―が　あんたみたいな　かっこのお
んなを　ぼちで　みたといってたぜ。"	""
"0000EA5F"	"5A88"	"0000FC88"	"dialogue"	"　　　　　　　
ピ―タ―　　　
"	""	"ロジャ―も　やられたのか・・・"	""
"0000EA63"	"5A98"	"0000FC98"	"dialogue"	"　　　　　　　
オマド―ン　　
"	""	"ここには　かいぶつも　おそっては　こん
ようじゃ。　うえにいる　むすめさんも　
わしが　みててやろう。"	""
"0000EA67"	"5ACC"	"0000FCCC"	"dialogue"	"　　　　　　　
フラン　　　　
"	""	"いやよ！　スティ―ブンは　かならず　も
どってくるわ！"	""
"0000EA6B"	"5AE8"	"0000FCE8"	"dialogue"	"　　　　　　　
キャメロン　　
"	""	"ライラ　ぶじだったか。　そうか　いきの
こったひとたちは　みんな　きょうかいに
あつまっているんだな。　よし　おれが　
きょうかいを　まもろう。　せめて　せい
ぞんしゃだけでも　たすけなきゃな。"	""
"0000EA6F"	"5B4A"	"0000FD4A"	"dialogue"	"　　　　　　　
キャメロン　　
"	""	"おれの　ショットガンを　もっていきな。
それとクロネンバ―グなら　おまえのＰＳ
のうりょくを　たかめられる　はずだ。"	""
"0000EA73"	"5B85"	"0000FD85"	"dialogue"	"　　　　　　　
クロネンバ―グ
"	""	"・・・ライラ　キャメロンは　ぶじなのね
。　わたしは　きずだらけで　たちあがる
ことも　できないわ・・・。
ロメロたいさにあえば　なにか　わかるか
も・・・"	""
"0000EA77"	"5BD4"	"0000FDD4"	"dialogue"	""	""	"こわれた　ガラスケ―スが　ある。"	""
"0000EA7B"	"5BE5"	"0000FDE5"	"dialogue"	""	""	"メダリオンは　なかった。"	""
"0000EA7F"	"5BF2"	"0000FDF2"	"dialogue"	""	""	"としょかんあとの　ようだ。"	""
"0000EA83"	"5C00"	"0000FE00"	"dialogue"	""	""	"ＭＡＸ―ＭＦちが　１００になった！"	""
"0000EA87"	"5C12"	"0000FE12"	"dialogue"	""	""	"パスワ―ドを　みますか？
　みる(ＰＡＳＳＷＯＲＤ)
　みない(ＣＯＮＴＩＮＵＥ)"	""
"0000EA8B"	"5C3C"	"0000FE3C"	"dialogue"	"　　　　　　　
クロネンバ―グ
"	""	"ライラ　まだしばらくは　だいじょうぶよ
！"	""
"0000EA8F"	"5C52"	"0000FE52"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"ふるいたてものは　すべて　ブラウニング
けが　たてた　ものです。"	""
"0000EA93"	"5C73"	"0000FE73"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"たいていの　ものは　ピ―タ―の　みせに
あるでしょう。"	""
"0000EA97"	"5C8F"	"0000FE8F"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"かみの　ごかごが　ありますことを。"	""
"0000EA9B"	"5CA1"	"0000FEA1"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"びょういんは　ぶじなの？"	""
"0000EA9F"	"5CAE"	"0000FEAE"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"こんなこと　もういやよ！"	""
"0000EAA3"	"5CBB"	"0000FEBB"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"べつの　メダリオンが　あったの？"	""
"0000EAA7"	"5CCC"	"0000FECC"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"ふたりを　つれていくんだ。"	""
"0000EAAB"	"5CDA"	"0000FEDA"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"まだいけるぜ！　それより　ゴ―ドンのキ
ャンプのたなにに　むせんきが　あるはず
だ。"	""
"0000EAAF"	"5D05"	"0000FF05"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"だいじょうぶだ！　おれは　もうすこしこ
こを　まもってるぜ！"	""
"0000EAB3"	"5D24"	"0000FF24"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"ブラウニングけは　まえの　ちょうちょう
をさいごに　とだえたようです。"	""
"0000EAB7"	"5D48"	"0000FF48"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"ゆかに　あなが？"	""
"0000EABB"	"5D51"	"0000FF51"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"こんな　ものが　がっこうに？"	""
"0000EABF"	"5D60"	"0000FF60"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"がっこうのほうで　すごいおとがしたよ。"	""
"0000EAC3"	"5D74"	"0000FF74"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"わたし　へいきよ。"	""
"0000EAC7"	"5D7E"	"0000FF7E"	"dialogue"	"　　　　　　　
サンドラ　　　
"	""	"パトリックさんが　めざめました。"	""
"0000EACB"	"5D8F"	"0000FF8F"	"dialogue"	"　　　　　　　
サンドラ　　　
"	""	"パトリックさんが　しんぱいです。　わた
しも　きょうかいへ　ゆきます。　ライラ
さん　ここには　もういちどきて。"	""
"0000EACF"	"5DC8"	"0000FFC8"	"dialogue"	"　　　　　　　
サンドラ　　　
"	""	"じゅうを　どうも。　それと　パトリック
さんが　ゆめのはなしを　していたわ。"	""
"0000EAD3"	"5DEF"	"0000FFEF"	"dialogue"	"　　　　　　　
パトリック　　
"	""	"ぼくは　どうしてここに・・・？
えっ　きょうかいへゆけば　いいんですか
わかりました。"	""
"0000EAD7"	"5E1B"	"0001001B"	"dialogue"	"　　　　　　　
パトリック　　
"	""	"はやくみんなを　たすけて　あげてくださ
い。"	""
"0000EADB"	"5E32"	"00010032"	"dialogue"	"　　　　　　　
パトリック　　
"	""	"くそっ！　ゆめが　おもいだせない。"	""
"0000EADF"	"5E44"	"00010044"	"dialogue"	"　　　　　　　
パトリック　　
"	""	"そうだ！　その　メダルと　おなじ　６つ
のひかりが　まものを　このよから　おい
はらったんだ！"	""
"0000EAE3"	"5E74"	"00010074"	"dialogue"	"　　　　　　　
ウェルズ　　　
"	""	"なぜ　ブラウニングは　このこうじに　は
んたい　したの　だろうか？"	""
"0000EAE7"	"5E96"	"00010096"	"dialogue"	"　　　　　　　
ホイットマン　
"	""	"ふかい　なぞが　このまちには　ある。"	""
"0000EAEB"	"5EA9"	"000100A9"	"dialogue"	"　　　　　　　
ホイットマン　
"	""	"この　メダリオンも　としょかんのとは　
ちがいますね。"	""
"0000EAEF"	"5EC5"	"000100C5"	"dialogue"	"　　　　　　　
ピ―タ―　　　
"	""	"おれなら　しんぱいしなくて　いいぜ。"	""
"0000EAF3"	"5ED8"	"000100D8"	"dialogue"	"　　　　　　　
ピ―タ―　　　
"	""	"ゆかしたの　あなかい？　なら　このなわ
ばしごを　もっていきな。　むせんきのほ
うは　もうてにいれたか？"	""
"0000EAF7"	"5F0D"	"0001010D"	"dialogue"	"　　　　　　　
ピ―タ―　　　
"	""	"しぬなよ！"	""
"0000EAFB"	"5F13"	"00010113"	"dialogue"	"　　　　　　　
オマド―ン　　
"	""	"わしといれば　このこも　あんぜんじゃ。"	""
"0000EAFF"	"5F27"	"00010127"	"dialogue"	"　　　　　　　
フラン　　　　
"	""	"スティ―ブン・・・"	""
"0000EB03"	"5F31"	"00010131"	"dialogue"	"　　　　　　　
キャメロン　　
"	""	"クロネンバ―グは　ぶじか。　おれが　た
すけにゆければ　いいんだが・・・"	""
"0000EB07"	"5F56"	"00010156"	"dialogue"	"　　　　　　　
キャメロン　　
"	""	"きょうかいは　おれひとりでいい。　クロ
ネンバ―グを　みてきてくれ。"	""
"0000EB0B"	"5F79"	"00010179"	"dialogue"	"　　　　　　　
キャメロン　　
"	""	"わかった。　はやく　クロネンバ―グを　
たすけよう。"	""
"0000EB0F"	"5F94"	"00010194"	"dialogue"	"　　　　　　　
クロネンバ―グ
"	""	"わたしより　ロメロたいさを・・・"	""
"0000EB13"	"5FA5"	"000101A5"	"dialogue"	"　　　　　　　
クロネンバ―グ
"	""	"ロメロたいさに　キケンが・・・"	""
"0000EB17"	"5FB5"	"000101B5"	"dialogue"	""	""	"としょかんあとの　ようだ。"	""
"0000EB1B"	"5FC3"	"000101C3"	"dialogue"	""	""	"ゴ―ドンが　つかっていた　きかいの　は
いった　たながある。"	""
"0000EB1F"	"5FE2"	"000101E2"	"dialogue"	""	""	"たなのなかには　むせんきが　あった。"	""
"0000EB23"	"5FF5"	"000101F5"	"dialogue"	""	""	"ほかには　なにもない。"	""
"0000EB27"	"6001"	"00010201"	"dialogue"	""	""	"ゆかに　あながあいている。　はしごがあ
れば　おりられるかもしれない。"	""
"0000EB2B"	"6025"	"00010225"	"dialogue"	""	""	"はしごが　かかった。"	""
"0000EB2F"	"6030"	"00010230"	"dialogue"	""	""	"２つめの　メダリオンを　てにいれた。"	""
